id,median_house_value
14769,160505.66484375
16487,137467.23841145833
2879,53528.390364583334
19071,234878.75703125
12053,110148.36588541666
17077,187160.99622395833
10624,233206.57890625
10320,324008.6692708334
5406,329594.2674479167
10840,349188.1510416666
20172,243802.99270833333
12112,101581.31419270833
9762,261220.99244791665
13614,91601.457421875
8503,224687.32135416666
3237,54105.147200520834
2088,65900.21764322917
7275,111720.01341145833
3845,186785.34557291667
9369,327529.025
20259,193618.63177083334
3882,214321.096875
3404,246559.58776041667
2479,56304.04876302084
7299,169580.31041666667
18648,251978.5546875
14187,115766.42578125
5636,175236.19348958333
8965,325743.1119791666
11729,87160.0541015625
12310,123923.22395833334
10336,325622.1484375
11858,79135.28997395834
20408,348647.7083333334
17586,224251.00598958333
11375,228433.87786458334
18949,152739.7317708333
15851,260808.60598958333
9448,113896.86419270834
3947,220143.45625
17812,218169.95364583333
14312,127021.655859375
16656,208107.7395833333
16971,327048.3333333334
12795,88870.10677083334
2067,66321.571484375
13936,112322.32369791667
14572,228319.40598958335
18679,261433.74635416665
14243,132399.7604166667
1056,112002.61848958334
11674,245591.97682291665
12543,105264.52161458333
13647,73567.8484375
1417,158671.03984375
14716,230155.22473958333
16099,251880.8346354167
18104,331443.11015625
14725,144270.0286458333
4042,377196.8671875
371,157307.51341145835
7124,183616.15182291667
10453,241636.0690104167
483,192765.04661458335
4335,307439.7838541666
19016,139009.0729166667
14651,209258.81822916667
9678,122058.89322916667
780,158481.2916666667
8194,272330.5924479166
19649,117981.61419270834
4432,154313.219140625
18865,153652.73255208333
11266,181329.37838541667
3415,169261.0755208333
18973,150607.11953125
11670,195353.5143229167
12840,103238.319921875
3944,239781.1575520833
16152,323988.3489583334
181,148370.65026041667
18562,254128.6859375
15521,145930.43828125
16467,132877.74895833334
20521,79619.06048177084
1688,246410.3411458333
10158,269678.2291666666
10733,310257.74140625
17905,276834.59661458334
15232,337822.5286458334
17162,412047.5182291666
8652,332382.234375
11106,221215.18776041665
3209,68596.58665364583
3197,75123.0962890625
7117,190677.35390625
18282,388769.265625
20018,91149.72200520834
1615,350562.7161458334
12113,115313.92994791667
6033,132279.02708333335
16103,262432.4080729167
14851,110700.1859375
14329,233019.1692708333
1956,147347.5
6557,367118.59375
10349,271854.07578125
1050,113619.45520833333
1017,228659.8385416667
13346,100483.421484375
13545,106467.17408854167
172,119273.28463541667
12967,124517.733984375
16004,226736.49921875
15779,219028.03125
16361,79342.7599609375
9140,214395.0963541667
4556,196741.640625
18014,249930.08151041667
12883,114553.07760416667
6155,174548.58984375
1678,110487.58919270834
640,172023.71015625
2007,51547.66438802083
9116,198064.9140625
9624,62449.85494791667
10290,275982.8106770833
10547,296432.5208333334
8422,194195.76848958334
13889,70934.91940104167
3977,278962.3703125
457,234999.33151041667
2129,68858.51634114583
15208,190364.95546875
2966,96552.72044270833
1020,201940.54908854165
20095,120218.33333333334
5437,304951.7247395833
13641,90644.15325520834
4982,120413.59986979167
9641,106000.32395833333
7434,147608.63125
11296,185653.17890625
13016,179687.2994791667
17292,341180.47630208335
20461,289753.53125
4031,223541.94609375
9918,181589.09036458333
18615,225536.42760416667
4437,160995.54921875
8413,151864.39739583334
13035,210533.5651041667
6626,174651.83151041667
16702,169388.0286458333
15203,250450.67526041667
1425,183945.4192708333
9065,114575.38671875
9616,77804.31002604167
18154,276997.80833333335
6853,234368.7109375
8720,346705.21510416665
4851,146502.38203125
20524,142805.3216145833
4347,393564.9817708334
8984,288250.73515625
3687,175206.0182291667
12725,140779.97708333333
11708,156105.5598958333
16884,320652.03125
3289,90329.12473958333
8625,331237.5447916667
3396,212978.47682291665
11246,230114.1453125
6480,182683.80260416667
9151,231290.84322916667
16283,94729.487890625
13025,146436.30104166665
6635,338110.6197916666
6599,169304.227734375
17520,211697.49973958335
19740,107837.94140625
17815,265655.9544270833
11408,226900.4390625
10752,348709.8671875
14873,147962.1770833333
454,233146.0520833333
2984,71936.76380208333
12104,77299.31106770833
16042,222739.6276041667
8433,231060.09713541667
20248,224941.60494791667
1220,133413.137890625
14850,108785.62174479166
8488,159710.34153645835
10022,115773.73177083334
2430,60720.19283854167
20618,98911.556640625
10587,208317.40234375
12105,137842.95221354166
5553,233495.678515625
14013,289234.6458333334
7419,146321.77161458333
9695,140978.95364583333
19014,262994.4427083334
15432,136381.74453125
8410,168720.50494791666
6949,161822.64479166665
38,126761.12760416666
17526,215453.96796875
10209,224320.71692708333
20334,303537.43515625
2925,64115.566796875
7495,105007.61614583334
7834,162554.30859375
2253,102728.551953125
3760,204688.92083333334
9394,376800.86614583334
1739,180364.40963541667
8221,142775.31471354165
9335,242145.09479166666
7611,119540.95481770833
19101,200338.765625
16281,89898.47213541667
11037,245742.1119791667
1285,96331.08170572916
12693,183868.7213541667
17011,293324.04713541665
14496,175524.0026041667
13854,116664.141015625
390,203250.32526041666
17669,187934.62734375
18035,300879.3106770833
10297,277150.7752604167
12716,213431.2369791667
16726,226911.4140625
3132,122220.04205729166
8749,348418.521875
18796,68061.0107421875
12135,125045.61263020833
4922,124688.7375
18392,285874.4135416667
3352,104552.58723958334
18944,137574.55494791665
12126,119087.88098958333
16359,99349.24466145833
2553,84486.45963541666
12478,83799.43815104166
2756,82540.31380208334
18306,386528.3359375
18385,358077.4791666666
5850,233520.42005208333
12854,104220.1875
7076,265460.76979166665
8861,316958.8645833334
3557,391865.71875
4897,121165.68177083333
20038,63333.780598958336
887,190477.7213541667
19813,106613.07213541667
17907,237729.52109375
6368,280160.6932291667
9162,230888.72369791666
5080,140187.29296875
17053,338987.48072916665
13226,146292.32239583333
18603,326857.4401041666
1757,221111.99166666667
4027,285515.5651041666
11570,212965.67604166665
17693,253073.81927083334
806,190582.7921875
10739,348591.4322916666
13427,91106.5875
3408,211008.3489583333
9284,313069.40729166666
9191,176645.92161458335
16320,129702.90716145834
8716,337134.2291666666
5288,406245.48020833335
3135,112032.453125
12579,84747.061328125
6737,409362.3125
12077,145997.578125
82,125067.03125
5828,267765.03125
11005,206901.01015625
1723,84841.02252604166
12023,156306.228125
7288,177101.91419270833
16091,247020.84348958335
1714,184744.19166666665
319,89453.384765625
6097,173040.4583333333
14922,154440.9505208333
11586,207686.18932291667
11042,354930.359375
13132,99298.43372395833
486,212991.93463541666
18086,388208.7890625
9380,291813.5416666666
173,163707.54661458335
991,284286.9322916666
3262,93710.71354166666
15856,280784.9861979167
12617,229089.796875
9158,210174.28932291665
1279,160296.6302083333
13957,123890.54778645834
13589,69770.6451171875
8831,286914.62135416665
6870,192412.4908854167
16612,212436.60338541667
18941,144606.38359375
5294,424284.7213541666
14402,251344.8802083333
13937,141745.26953125
15534,126946.72174479166
