id,median_house_value
14769,149142.9375
16487,145200.03125
2879,51967.07421875
19071,247345.3125
12053,107080.375
17077,208843.40625
10624,225574.296875
10320,303273.0625
5406,305505.625
10840,356701.3125
20172,226413.875
12112,101261.4453125
9762,281285.5
13614,88216.8515625
8503,215857.71875
3237,49764.40234375
2088,68143.1875
7275,116818.59375
3845,183688.21875
9369,349107.34375
20259,179185.65625
3882,220046.34375
3404,224370.484375
2479,57921.62109375
7299,152230.078125
18648,239956.328125
14187,107847.0078125
5636,157066.8125
8965,293975.125
11729,83503.6328125
12310,130909.9375
10336,330623.375
11858,80987.8984375
20408,336570.65625
17586,245396.609375
11375,220865.171875
18949,159703.609375
15851,271886.5
9448,130348.5390625
3947,214359.40625
17812,210077.03125
14312,118596.828125
16656,196810.546875
16971,276802.0625
12795,75754.6171875
2067,66902.0546875
13936,122878.078125
14572,236471.46875
18679,272428.125
14243,134538.15625
1056,110605.671875
11674,252593.296875
12543,103752.9453125
13647,80880.3671875
1417,141193.578125
14716,221653.515625
16099,254244.375
18104,323654.84375
14725,140910.46875
4042,418819.03125
371,157362.1875
7124,168396.328125
10453,256516.796875
483,164278.8125
4335,302066.65625
19016,155681.296875
14651,224022.140625
9678,156656.71875
780,157851.59375
8194,255526.53125
19649,116162.2421875
4432,153187.515625
18865,171918.109375
11266,173959.734375
3415,162151.640625
18973,150757
11670,204377.046875
12840,122203.296875
3944,250296.671875
16152,300281.125
181,157843.328125
18562,240554.484375
15521,135314.484375
16467,129495.375
20521,80855.140625
1688,265981.1875
10158,272569.4375
10733,370198.125
17905,271495.25
15232,361007.25
17162,429009.5
8652,342854.21875
11106,222820.6875
3209,62504.5625
3197,65825.8515625
7117,208634.46875
18282,391839.65625
20018,89208.046875
1615,343345.4375
12113,131662.953125
6033,132041.46875
16103,270664.40625
14851,113939.875
14329,235592
1956,153181.125
6557,382567.0625
10349,258789.21875
1050,125755.1015625
1017,251565.203125
13346,99887.9765625
13545,90336.09375
172,123920.75
12967,118765.078125
16004,243616.53125
15779,249221.25
16361,77238.140625
9140,170312.296875
4556,197747.859375
18014,269158.125
12883,134906.53125
6155,162458.296875
1678,104229.7734375
640,187786.921875
2007,53689.7734375
9116,179022.796875
9624,60995.41015625
10290,274186.96875
10547,278687.5625
8422,199796.40625
13889,66831.96875
3977,284156.09375
457,225656.640625
2129,71508.7890625
15208,184810.5
2966,96968.5078125
1020,201649.0625
20095,123343.75
5437,327348.75
13641,86910.421875
4982,121375.9296875
9641,111709.4765625
7434,145551.21875
11296,177374.328125
13016,188441.4375
17292,382847.3125
20461,288051.5
4031,229345.25
9918,187694.1875
18615,226310.4375
4437,160481.03125
8413,154662.625
13035,189588.34375
6626,176820.1875
16702,176528.75
15203,224638.203125
1425,151700.953125
9065,125435.59375
9616,64599.29296875
18154,266864.09375
6853,212393.46875
8720,349076.84375
4851,131523.3125
20524,132066.171875
4347,402253.03125
8984,280309.03125
3687,166860.90625
12725,138262.4375
11708,150687.28125
16884,321777.1875
3289,94718.7265625
8625,314891.625
3396,195611.46875
11246,226813.921875
6480,190521.765625
9151,230395.3125
16283,92031.2890625
13025,161316.078125
6635,321388.09375
6599,155285.046875
17520,208085.03125
19740,87455.28125
17815,294237.3125
11408,227138.25
10752,341060.71875
14873,126320.578125
454,236909.140625
2984,69157.9609375
12104,86173.578125
16042,241025.921875
8433,220485.765625
20248,219810.296875
1220,146249.609375
14850,115382.1875
8488,174771.4375
10022,111431.2890625
2430,59472.76171875
20618,115205.09375
10587,220914.765625
12105,136425.796875
5553,276733.53125
14013,310717.5
7419,145632.9375
9695,111038.640625
19014,258110.34375
15432,155402.640625
8410,132446.03125
6949,167438.390625
38,136558.390625
17526,206701.625
10209,220739.4375
20334,323336.96875
2925,58675.921875
7495,88568.484375
7834,158653.234375
2253,90904.4453125
3760,198159.5625
9394,371588.3125
1739,165840.8125
8221,127201.3203125
9335,227226.046875
7611,120964.578125
19101,204712.75
16281,87560.453125
11037,262634.0625
1285,103354.8984375
12693,172495.5
17011,269887.03125
14496,169443.578125
13854,108160.421875
390,186949.046875
17669,171251.140625
18035,307270.25
10297,290141.125
12716,227732.25
16726,219860.734375
3132,112171.1796875
8749,331741.09375
18796,68982.8984375
12135,134162.609375
4922,112546.0625
18392,302425.3125
3352,105094.9765625
18944,140112.65625
12126,107569.1484375
16359,101301.5546875
2553,65829.71875
12478,93613.3671875
2756,79656.734375
18306,413847.375
18385,353927.46875
5850,232944.578125
12854,96697.640625
7076,271443
8861,327486.5625
3557,378428.125
4897,140067.59375
20038,59644.28125
887,216602.546875
19813,97562.4375
17907,251147.96875
6368,287124.375
9162,217277.265625
5080,123592.4375
17053,370208.53125
13226,125517.25
18603,331510.5625
1757,207649.921875
4027,299145.75
11570,214402.5625
17693,266556.21875
806,179389.515625
10739,375039.4375
13427,108258.3046875
3408,178030.140625
9284,306595.4375
9191,165002.28125
16320,121267.5625
8716,363056.03125
5288,363311.8125
3135,92296.6171875
12579,80430.0234375
6737,401285.8125
12077,128834.84375
82,114497.5
5828,263080.4375
11005,208283.828125
1723,81185.40625
12023,145767.3125
7288,164593.890625
16091,271334.34375
1714,199126.890625
319,83962.8984375
6097,166995.609375
14922,137317.609375
11586,190455.90625
11042,348032.8125
13132,112649.9921875
486,209446.921875
18086,400143.96875
9380,288486.875
173,158319.59375
991,268804.09375
3262,92269.375
15856,297617.96875
12617,209461.8125
9158,206310.171875
1279,144797.90625
13957,131214.09375
13589,70496.21875
8831,293458.21875
6870,190425.890625
16612,219417.921875
18941,140752.84375
5294,436784.71875
14402,300944.40625
13937,175865.765625
15534,122771.34375
17893,218612.453125
6641,178028.171875
10242,180499.265625
18311,340443.3125
525,159399.5625
13332,125386.4296875
17195,357860.0625
15887,141918.390625
10018,172275.9375
13244,254170.1875
5858,200167.890625
17010,257616.578125
5595,213956.609375
1415,251652.328125
13456,120515.875
18950,116770.28125
17954,312188.90625
10975,197000.09375
397,208602.25
19977,127174.6796875
2420,58928.69921875
2779,103773.4765625
14698,151614.6875
4993,115551.5
7357,162436.84375
6357,182347.640625
15706,315210.53125
913,285036.15625
11530,158622.390625
15871,234670.171875
17331,282799.5625
9617,79679.640625
7810,149876.625
12011,134135.03125
12467,135601.4375
4143,228801.953125
7726,188675.046875
4957,132047.359375
13321,133355.96875
3316,123718.6484375
11518,395633.9375
8553,211283.71875
18507,286820.8125
4317,271621.875
7903,311376.625
2601,74105
6932,165280.078125
14480,340441.59375
19556,127728.328125
18025,241968.03125
3137,63075.40234375
18324,413211
7206,133204.5
11895,93365.2578125
10455,149129.78125
1933,153580.84375
1408,198496.859375
18143,354023.71875
8737,293275.09375
139,305556.9375
12630,77460.5703125
11038,361430.40625
19875,46357.00390625
11574,208073.578125
17055,350454.28125
13605,111604.2421875
15987,274565.65625
6813,237191.875
8822,324097
13072,130748.2578125
16303,132994.703125
14421,199320.984375
14398,259373.734375
360,248639.09375
2622,251815.140625
13293,129537.9921875
14446,279860.625
3680,183358.703125
4915,100585.328125
7563,143349.5
463,220998.203125
18505,413364.84375
5436,301799.5
12106,100657.3984375
11421,312008.84375
11368,247950.484375
18340,395277.40625
4548,169521.140625
4836,208687.078125
3367,98576.3359375
14609,246907.125
1780,221590.59375
2042,282247.59375
4467,170791.296875
8106,145471.609375
5047,311761.5625
1190,79346.3359375
16241,115761.0625
2181,84447.8125
10286,284745.1875
1383,230174.0625
6848,213051.53125
19474,104380.390625
2552,86684.171875
8998,220438.5625
15158,219950.8125
12789,71623.3203125
5450,307631.375
7686,177430.578125
6843,203696.8125
15413,228589.640625
18726,105355.03125
6055,256699.53125
11942,118238.8203125
10531,208459.65625
18895,155872.65625
3697,171680.8125
14292,172895.828125
4501,172549.9375
5031,114922.3203125
14820,116240.5859375
15140,183962.4375
13033,199562.796875
16088,264111.75
9474,108934.515625
18716,73694.59375
19224,292234.0625
8606,258184.546875
12568,85329.6640625
2454,77494.359375
3641,187224.5625
4590,205214.5
6546,169280.765625
19022,136681.8125
19512,97462.203125
1563,236762.078125
3263,86090.1875
13158,111351.609375
8764,418397.40625
14061,142335.875
19184,201013.484375
7489,128625.4140625
8351,207114.390625
2239,115492.9765625
16262,83737.28125
4762,287295.375
8934,355027.40625
17999,299991.875
2699,71880.46875
10552,326251.5625
194,112882.8984375
10600,204481.046875
12828,131861.09375
16005,367661.25
3406,315695.6875
7469,123796.75
2194,72514.4375
2518,84606.4453125
10418,329436.21875
4202,164337.84375
17763,178820.59375
17310,295631.0625
8631,293276.59375
10101,201118.90625
16148,307743.8125
19019,140000
