id,median_house_value
14769,257758.796875
16487,269857.09375
2879,130338.125
19071,326362.0625
12053,229450.484375
17077,282072.71875
10624,281525.8125
10320,256943.203125
5406,324325.84375
10840,287518.5
20172,327984.40625
12112,167782.5625
9762,321666.40625
13614,191402.015625
8503,291284.96875
3237,105221.703125
2088,112167.640625
7275,192609.515625
3845,284845.40625
9369,322118.3125
20259,313677.1875
3882,309916
3404,297187.0625
2479,116432.734375
7299,338024.6875
18648,345685.375
14187,283569.25
5636,241467.3125
8965,292972.34375
11729,164550.03125
12310,247775.296875
10336,248761.125
11858,153597.234375
20408,314879.21875
17586,290689.09375
11375,291899.46875
18949,269387.90625
15851,310845.8125
9448,263011.4375
3947,306956.59375
17812,304808.71875
14312,169179.40625
16656,316383.875
16971,346915.46875
12795,131588.71875
2067,159428.015625
13936,187251.5625
14572,283880.0625
18679,336862.65625
14243,264907
1056,247521.640625
11674,283198.84375
12543,278016.21875
13647,126417.9765625
1417,270773.78125
14716,258477.015625
16099,334175.875
18104,324731.0625
14725,259468.84375
4042,323418.625
371,264955.4375
7124,267251.8125
10453,292405.34375
483,318105.96875
4335,324068.09375
19016,263878.90625
14651,290243.78125
9678,275898.21875
780,320350.40625
8194,313877.1875
19649,309504.875
4432,359927.125
18865,242807.484375
11266,278777
3415,300303.40625
18973,268754.53125
11670,277020.875
12840,249410.125
3944,313338.8125
16152,332156.46875
181,336523.90625
18562,320472.28125
15521,284161.375
16467,258090.796875
20521,191796.859375
1688,269707.625
10158,267334.5
10733,318822.90625
17905,305744.40625
15232,298448.84375
17162,346515.6875
8652,304158.8125
11106,262726.90625
3209,134979.5625
3197,193382.1875
7117,268001.09375
18282,331320.25
20018,268946.625
1615,334700.875
12113,185462.453125
6033,239331.21875
16103,327439.21875
14851,267650.71875
14329,296827.34375
1956,270634.5625
6557,306387.96875
10349,254688.625
1050,263182.3125
1017,289859.09375
13346,238117.390625
13545,195076.21875
172,343775.125
12967,248186.265625
16004,307595.875
15779,306366.84375
16361,142731.296875
9140,295255.59375
4556,228793.921875
18014,304450.125
12883,250380.03125
6155,279880.53125
1678,158580.3125
640,261359.734375
2007,118179.53125
9116,288538.96875
9624,113044.7109375
10290,245260.203125
10547,268173.5625
8422,271385
13889,136960.09375
3977,328268.3125
457,354263.59375
2129,166963.953125
15208,333762.84375
2966,251518.515625
1020,290078.375
20095,170125.828125
5437,311660.875
