id,median_house_value
14769,154823.46627938823
16487,141176.39449676382
2879,55660.59490626611
19071,239038.52768306367
12053,108887.67893243126
17077,164948.93330523532
10624,230307.1589412067
10320,315996.70430513954
5406,319954.88882502913
10840,363509.43033514934
20172,250750.47711345507
12112,96738.96848544973
9762,234471.09603910623
13614,96665.24173265847
8503,195756.23257986878
3237,57162.32159467837
2088,62623.298463094034
7275,109172.2604421849
3845,201056.00757756995
9369,319012.7339435439
20259,199548.57584432155
3882,212479.27155576905
3404,243641.33861068214
2479,60822.53961232469
7299,161414.58144610422
18648,233560.43713604525
14187,134904.1002105678
5636,175114.86467075686
8965,328825.4367202526
11729,86845.914098025
12310,116745.35353103536
10336,335077.92769874533
11858,86457.64122174046
20408,371469.23153480544
17586,210267.23191231646
11375,222746.59516414988
18949,177536.51017572277
15851,259611.5679613037
9448,112281.61373884148
3947,213771.58794725352
17812,209892.67580490577
14312,128063.54249570797
16656,222952.51505538943
16971,305009.64570316643
12795,95641.82819063174
2067,70902.47333333337
13936,122310.7569879254
14572,231271.75719187214
18679,254048.63501171605
14243,144479.44370353105
1056,115366.96561651534
11674,239694.50859820473
12543,97852.20125516373
13647,81500.40869632756
1417,165399.21056258047
14716,244185.35905519675
16099,256745.01091398837
18104,340646.2225146943
14725,161474.884668399
4042,360758.31893412006
371,187961.08011670198
7124,183546.87825984127
10453,233918.59878388527
483,208995.59550583907
4335,291528.04136963974
19016,141256.98075514444
14651,214717.90635918465
9678,142950.04432460302
780,167662.53296520584
8194,275110.714336895
19649,114385.22276118289
4432,160268.69530789857
18865,151552.86124127317
11266,191847.05373030374
3415,186904.37490511424
18973,170425.6918528993
11670,198542.10103546563
12840,111152.29808831359
3944,249834.95858632252
16152,311753.11593541654
181,171231.22381416344
18562,251299.79447400814
15521,145837.0661576355
16467,138805.1152778636
20521,82577.57435004486
1688,243842.36904414115
10158,273908.4247972001
10733,296547.21832783596
17905,276121.33403802145
15232,361788.8853018421
17162,412597.62551462883
8652,328448.5974173674
11106,216399.8981827484
3209,64975.03464338059
3197,77486.38782561502
7117,193998.461292709
18282,392383.47111549374
20018,90775.2719963793
1615,362209.3903736644
12113,130921.94008271178
6033,137988.37856727035
16103,263976.63709861867
14851,122091.1191481444
14329,245962.85558406904
1956,135027.51525205918
6557,341313.625975983
10349,294421.8938025608
1050,119239.5800929697
