id,median_house_value
14769,320464.52109399077
16487,249983.25422550587
2879,105737.29048576149
19071,332098.29898068914
12053,215589.29965061045
17077,269455.53919045127
10624,341794.17901701963
10320,335958.7190377654
5406,378501.6138354345
10840,351512.5338238134
20172,364374.9706170052
12112,233041.01964910462
9762,352928.6824719826
13614,279395.1386501841
8503,352032.1641610598
3237,101652.8075699643
2088,102889.88520965629
7275,213903.89689985252
3845,281399.5603959646
9369,359113.10893453594
20259,359243.2420352278
3882,356628.3080715036
3404,353603.4581240429
2479,109988.15125461406
7299,315785.4967150227
18648,358894.0169533409
14187,301666.34686516196
5636,216747.6509247081
8965,372949.65151394147
11729,140488.293252171
12310,270967.60911406146
10336,340035.9116744265
11858,179882.89092655494
20408,357005.88477618754
17586,354743.73102474946
11375,349461.6765835159
18949,246714.06794614092
15851,360123.44878217264
9448,258404.76762710052
3947,355366.599684619
17812,356135.1261142266
14312,206500.2568865559
16656,358328.23786286864
16971,365707.4353101607
12795,129045.16174782909
2067,198286.88959287872
13936,260646.9873632883
14572,348765.95586966584
18679,358461.6319322577
14243,331004.4680308595
1056,242433.6690286772
11674,342400.28651925427
12543,247082.8225460567
13647,160837.55387635928
1417,314723.50687847316
14716,331804.41557606246
16099,362244.27701798145
18104,357987.9597406158
14725,333707.0320554263
4042,365029.61007853685
371,349568.51621432643
7124,347573.63264197524
10453,342311.82586474856
483,349349.5464396631
4335,363892.4405215363
19016,254443.95037958247
14651,347803.476318906
9678,259489.40626833247
780,333051.84134552866
8194,357347.5728666633
19649,274748.23178820376
4432,322674.66060472076
18865,317792.9419389398
11266,346265.85507961124
3415,354379.90829405753
18973,245187.36298323964
11670,341064.6503584995
12840,250652.98085370075
3944,361605.91159558046
16152,365355.87412253936
181,343366.3329675834
18562,358930.73697476136
15521,314756.24497394223
16467,250751.57171323546
20521,180305.18109103854
1688,322394.6265287456
10158,347007.59771627246
10733,349393.2889900334
17905,358134.136120467
15232,347561.126786109
17162,364553.2446857194
8652,366122.7732777593
11106,350294.56001290417
3209,136254.40805429377
3197,204693.96149348436
7117,347187.6099244392
18282,362630.25956090295
20018,251344.01387768597
1615,347014.55442225694
12113,266213.67713578837
6033,287975.3641926432
16103,364308.4382177824
14851,292973.19152133755
14329,346231.6165912161
1956,241693.97355442247
6557,319635.37660725403
10349,343553.64316863293
1050,243654.87217284847
1017,279484.37066564284
13346,210907.10320895098
13545,282771.0617141474
172,306822.0369471581
12967,244363.4695790283
16004,364353.86845406494
15779,250067.99450749042
16361,139697.01992962562
9140,292462.4261729091
4556,233032.1060615234
18014,355017.419970085
12883,253260.02689608504
6155,347214.79267033294
1678,198939.23093072927
640,354519.1200120799
2007,106997.36653663097
9116,277029.5785183448
9624,129145.31355446823
10290,339196.05058105337
10547,349592.1438341863
8422,355783.47141240485
13889,141246.71384475095
3977,358249.2893169285
457,349140.23062585294
2129,179409.35291239133
15208,322857.0258295589
2966,231122.70632316518
1020,280842.99760613
20095,165606.55476075673
5437,371817.37490258034
13641,190090.7580478153
4982,204046.06645232718
9641,256644.38171101874
7434,329893.4664330144
11296,339543.1680404472
13016,241844.01857111743
17292,354499.2044188868
20461,362289.42076068703
4031,359585.38634504506
9918,322751.71128470375
18615,358902.0876541455
4437,271920.0657155086
8413,352536.52831891354
13035,244938.18957902832
6626,352378.37416108174
16702,351072.6468599804
15203,327859.9471221334
1425,187512.9689922388
9065,255379.2360997079
9616,151192.50996432838
18154,358064.1931907497
6853,364163.5199167867
8720,358281.7007641396
4851,301671.2560092944
20524,255366.59582824828
4347,374001.7999665262
8984,369234.9264562579
3687,356336.7811712353
12725,249739.20046367805
11708,115988.90525170913
16884,367127.31773050845
3289,153060.4389807089
8625,364392.16319275193
3396,354753.8611567303
11246,344619.75565256743
6480,352321.4168675701
9151,364137.9373851873
16283,254257.18795311046
13025,248959.33609364316
6635,361964.0494523667
6599,333785.83316674747
17520,353336.3750692602
19740,243901.92535096864
17815,349654.0074329366
11408,354395.61675074743
10752,349691.73061073874
14873,315801.16761138855
454,349891.8162233499
2984,256131.20564007026
12104,164415.32863287267
16042,350270.52834676893
8433,367974.2294108532
20248,359087.9851280444
1220,249984.4328667378
14850,213469.68781069934
8488,343546.56685515115
10022,161387.85409907592
2430,112326.48259723699
20618,251425.33306186757
10587,342948.2518126478
12105,130460.41682493222
5553,354105.82025966124
14013,342560.4416261299
7419,348359.5814718595
9695,299508.2188782294
19014,255092.5187967026
15432,324432.7146070432
8410,271609.15030334523
6949,348249.4170797292
38,208223.7921396937
17526,353018.87241531094
10209,344670.09750687436
20334,356182.6073555024
2925,139185.13524154798
7495,296514.37253082445
7834,348526.98094798485
2253,257661.34754413358
3760,348515.3091476725
9394,362695.53857564717
1739,329888.2245834607
8221,309354.98707321053
9335,340092.17439620517
7611,274609.9720449839
19101,337481.3444378565
16281,197163.15247408167
11037,347648.9816260195
1285,197559.76327481595
12693,249936.49495051373
17011,363820.3148128931
14496,335999.31001254194
13854,165152.39595269255
390,347223.10890217737
17669,351426.2056636369
18035,360956.05310295965
10297,345408.44183622487
12716,249040.87025841232
16726,353906.4408899692
3132,243752.73543209885
8749,356282.09746605734
18796,136963.53267073567
12135,265387.0446905624
4922,194018.663350135
18392,351144.8969021466
3352,239580.00470315307
18944,256442.6143340583
12126,264632.8041846507
16359,149322.90036068365
2553,247075.28737407806
12478,124561.72665170918
2756,231976.79742035345
18306,363016.7542882335
18385,352790.21491720853
5850,291073.37279833265
12854,225121.34462568836
7076,347991.5222812001
8861,370589.499074978
3557,357003.2828831719
4897,253404.9532717711
20038,213087.7507532565
887,351478.8956422163
19813,252088.1578586099
17907,354808.8287281176
6368,330177.7685253962
9162,357752.96872186044
5080,353916.1044167565
17053,370352.8786286092
13226,278745.5445608902
18603,367006.153246751
1757,339636.2508858945
4027,359858.448913987
11570,357693.45373835205
17693,351362.9288767119
806,346603.7229538988
10739,351421.0466159841
13427,261903.54989692182
3408,361057.6363443537
9284,340097.8296478218
9191,280965.8879640005
16320,227248.5826656284
8716,364829.2008076553
5288,371674.5541955737
3135,268337.38233105856
12579,214103.5516809956
6737,353142.40387080854
12077,272380.31962068204
82,202452.9625785609
5828,357712.4440269928
11005,339695.377849012
1723,203033.6620181343
12023,265482.50815341395
7288,262972.64211894356
16091,364450.6197576127
1714,324978.93115753005
319,214232.48017344647
6097,346843.385488189
14922,315555.00563682325
11586,341878.9443394233
11042,338774.32080014964
13132,245061.48398983214
486,221961.62263177487
18086,358119.7570866665
9380,355165.40322973713
173,320032.596901534
991,281846.37515490036
3262,253037.12798945815
15856,364168.24631707475
12617,255257.64936684733
9158,357416.65692076745
1279,275871.4564031081
13957,276543.25412400404
13589,157244.65362340573
8831,369739.74376707943
6870,351806.16027208016
16612,351058.1839724296
18941,254455.9255794832
5294,372576.0567292647
14402,325361.5714202733
13937,260646.9873632883
15534,289372.56641302735
17893,353162.0445066769
6641,238338.6831138216
10242,339826.6794290329
18311,362637.69638997247
525,349648.5210550219
13332,280310.85423536605
17195,359032.31437402597
15887,231337.84623947873
10018,240845.05480191958
13244,291538.4266234029
5858,357121.8865358055
17010,366390.6335322171
5595,349161.60507337074
1415,327381.8489670562
13456,265699.3522612004
18950,241046.03250666134
17954,358962.5862731934
10975,341853.3827608844
397,347117.13705478585
19977,261172.1260749234
2420,120492.77597532535
2779,98667.50703151949
14698,325280.7266071552
4993,307485.6785540328
7357,330575.4972257415
6357,316344.7807207275
15706,364236.7546333822
913,354063.67668650777
11530,254126.22051552625
15871,364549.05623258435
17331,358117.4482982783
9617,233966.64475732372
7810,354719.11186856026
12011,268323.74641452235
12467,249847.23282735428
4143,366100.65712115855
7726,350650.7147271006
4957,266988.7823525451
13321,263476.4921730466
3316,255190.27798945815
11518,353764.88149617304
8553,334518.17608125595
18507,344830.9702645792
4317,328936.62259991496
7903,358156.78393324476
2601,154716.0782697692
6932,348696.15038126917
14480,349113.9566976442
19556,256011.0334868067
18025,356800.8148536216
3137,263430.4494237568
18324,362490.12883865606
7206,252248.50412462745
11895,263899.8149021868
10455,322479.6147867563
1933,246004.3692783824
1408,315611.71574000467
18143,363626.2932377232
8737,363574.95941709384
139,346921.14697045303
12630,250679.69224564763
11038,341389.18644116237
19875,109274.31503663097
11574,345950.35219206044
17055,362401.7638114425
13605,280463.63839174353
15987,364121.72282409976
6813,351244.34695257747
8822,372272.0982608135
13072,254116.83226757043
16303,253097.865662366
14421,346351.4229109382
14398,240211.15849343088
360,349019.8309064278
2622,299223.6827844134
13293,293042.0480495013
14446,317330.38654365187
3680,356658.1380991478
4915,295151.4561433833
7563,338552.1876824548
463,248638.57735959374
18505,341408.3348391165
5436,369623.9464776785
12106,270023.7418175169
11421,360461.8762934634
11368,344298.17047530005
18340,360784.30114566075
4548,354788.9560657977
4836,299490.89666214725
