id,median_house_value
14769,156391.1109375
16487,141009.46119791668
2879,53112.20260416667
19071,233472.6390625
12053,110573.33333333333
17077,148465.63307291668
10624,256810.5328125
10320,312200.0885416667
5406,315439.65989583335
10840,359133.8645833333
20172,248351.09479166666
12112,95310.97213541667
9762,237177.67239583333
13614,94223.28984375
8503,220062.01770833333
3237,57784.23971354167
2088,67765.66575520833
7275,120156.80026041667
3845,197526.14427083332
9369,292771.64375
20259,207208.88854166667
3882,215960.4125
3404,246036.72239583332
2479,60430.67565104167
7299,169899.99583333332
18648,251443.5
14187,125010
5636,163077.77760416668
8965,331256.5364583333
11729,85061.256640625
12310,118046.66666666667
10336,319318.421875
11858,82417.01744791666
20408,379664.5729166667
17586,216203.52760416668
11375,222090.66197916667
18949,163886.66666666666
15851,263091.99322916666
9448,108292.36119791666
3947,204903.771875
17812,221197.17291666666
14312,134933.70234375
16656,223646.66666666666
16971,340792.3541666667
12795,95611.66666666667
2067,70330.521875
13936,139632.59270833334
14572,233913.42135416667
18679,256981.49270833333
14243,146365.83333333334
1056,127486.66666666667
11674,244231.85989583333
12543,99297.00416666667
13647,77503.8453125
1417,158072.0953125
14716,260024.62135416668
16099,253852.01302083334
18104,312348.2203125
14725,159341.66666666666
4042,376017.640625
371,178592.46432291667
7124,187629.61614583334
10453,225499.09114583334
483,208694.71822916667
4335,297232.2864583333
19016,156216.10677083334
14651,219070.44895833332
9678,134583.33333333334
780,170836.75520833334
8194,290646.5598958333
19649,106476.11119791666
4432,156001.04765625
18865,157137.02760416668
11266,198785.36614583334
3415,190532.66666666666
18973,157934.2859375
11670,181170.80989583334
12840,102744.69453125
3944,253059.45572916666
16152,333351.6666666667
181,143290.47239583332
18562,248241.45
15521,149973.6109375
16467,140816.58385416667
20521,85901.58190104166
1688,252188.51041666666
10158,274577.6770833333
10733,259085.7328125
17905,296397.2869791667
15232,366254.3072916667
17162,418772.0364583333
8652,322506.84375
11106,230789.29739583333
3209,62208.81393229167
3197,71431.919140625
7117,197100.8171875
18282,382401.0625
20018,89980.27994791667
1615,367540.6197916667
12113,127362.04739583333
6033,132955.75729166667
16103,266667.26927083335
14851,121821.1375
14329,255870.08854166666
1956,146750
6557,373717.375
10349,293118.0421875
1050,129293.66822916667
1017,211933.33333333334
13346,106594.44453125
13545,122171.02786458333
172,131959.44427083334
12967,131498.71015625
16004,225277.8890625
15779,222643.421875
16361,89007.777734375
9140,184033.33333333334
4556,191481
18014,254201.11614583334
12883,119510.23333333334
6155,174441.9140625
1678,115060.74088541667
640,173942.8890625
2007,56914.496744791664
9116,210663.421875
9624,70872.24505208334
10290,292948.04322916665
10547,311433.5104166667
8422,216284.41197916667
13889,77563.51848958334
3977,286697.959375
457,258529.36614583334
2129,76762.77096354167
15208,183971.0515625
2966,75879.81588541667
1020,203586.45755208333
20095,120798.66666666667
5437,286043.63697916665
13641,91296.11119791666
4982,121882.77786458333
9641,101975.26510416667
7434,153449.66875
11296,192605.2171875
13016,174650.83333333334
17292,306887.17135416664
20461,314003.6875
4031,213463.0953125
9918,166609.30572916666
18615,230493.54270833332
4437,175475.8171875
8413,159090.40416666667
13035,229686.75520833334
6626,183688.35052083334
16702,186480.16666666666
15203,280015.38177083334
1425,191593.51041666666
9065,128990
9616,84268.51848958334
18154,246611.77291666667
6853,226891.046875
8720,344630.08645833336
4851,153255.6078125
20524,149244.76822916666
4347,390258.5260416667
8984,285900.2828125
3687,184531.47395833334
12725,155225.26666666666
11708,145450.08854166666
16884,333478.84375
3289,97376.17135416667
8625,322112.77708333335
3396,206753.01614583333
11246,222346.49375
6480,179809.37083333332
9151,243083.82708333334
16283,90497.19453125
13025,140962.22708333333
6635,357467.5520833333
6599,183534.64296875
17520,211665.46822916667
19740,114352.5
17815,260736.72135416666
11408,223183.26875
10752,332294.484375
14873,157621.66666666666
454,225462.58854166666
2984,72222.12916666667
12104,81907.62213541666
16042,211751.33333333334
8433,224314.44427083334
20248,222750.80364583334
