id,median_house_value
14769,338467.9505208333
16487,267751.8880208333
2879,93968.73333333334
19071,336604.35104166664
12053,215535.04427083334
17077,272395.2213541667
10624,343379.3515625
10320,334367.5520833333
5406,384300.3692708333
10840,347497.7734375
20172,373950.015625
12112,211726.77708333332
9762,361413.1276041667
13614,290365.46458333335
8503,359054.79375
3237,95348.26666666666
2088,87969.98333333334
7275,213050.83046875
3845,278328.6432291667
9369,367076.59322916664
20259,366221.5494791667
3882,361451.59375
3404,356471.5489583333
2479,102599.16666666667
7299,332180.5755208333
18648,364014.9713541667
14187,328437.4192708333
5636,234245.30989583334
8965,380888.6140625
11729,129206.66666666667
12310,278633.8645833333
10336,330827.5078125
11858,177276.7109375
20408,360751.4166666667
17586,355713.0390625
11375,349119.4401041667
18949,268941.84375
15851,361404.79375
9448,272286.9322916667
3947,359881.5052083333
17812,365751.5494791667
14312,212156.88802083334
16656,362326.5494791667
16971,368726.6822916667
12795,125610.58828125
2067,186270.921875
13936,281083.75364583335
14572,349152.8177083333
18679,364209.9270833333
14243,338827.9505208333
1056,262868.4661458333
11674,340324.3515625
12543,261553.59895833334
13647,157803.33333333334
1417,328250.8854166667
14716,345051.0625
16099,366166.6375
18104,359194.7942708333
14725,347919.4401041667
4042,370610.0598958333
371,345869.3958333333
7124,344202.8619791667
10453,343809.3958333333
483,349306.0625
4335,373871.85885416664
19016,258288.421875
14651,349256.328125
9678,270508.5989583333
780,343800.9296875
8194,357274.75
19649,271108.7317708333
4432,340972.3307291667
18865,331439.0859375
11266,339139.3072916667
3415,357048.215625
18973,267943.5989583333
11670,339479.3515625
12840,259526.7109375
3944,365259.9270833333
16152,363456.5046875
181,362790.9296875
18562,364014.9713541667
15521,336134.1302083333
16467,269690.1770833333
20521,162611.41119791666
1688,335749.21875
10158,339617.8177083333
10733,349772.8177083333
17905,354119.6171875
15232,348967.8619791667
17162,368005.015625
8652,372486.6817708333
11106,340526.1067708333
3209,112317.5
3197,199009.29947916666
7117,340212.7291666667
18282,361716.4166666667
20018,262240.3098958333
1615,351969.3515625
12113,274217.0651041667
6033,320827.396875
16103,369718.3484375
14851,316288.9973958333
14329,351922.90625
1956,268016.9322916667
6557,355469.3067708333
10349,334910.9739583333
1050,266200.1328125
1017,295758.5989583333
13346,217841.7109375
13545,292095.50885416666
172,303307.1979166667
12967,268740.0885416667
