id,median_house_value
14769,164620.21875
16487,133925.015625
2879,53944.578125
19071,236284.875
12053,109723.3984375
17077,225856.359375
10624,209602.625
10320,335817.25
5406,343748.875
10840,339242.4375
20172,239254.890625
12112,107851.65625
9762,285264.3125
13614,88979.625
8503,229312.625
3237,50426.0546875
2088,64034.76953125
7275,103283.2265625
3845,176044.546875
9369,362286.40625
20259,180028.375
3882,212681.78125
3404,247082.453125
2479,52177.421875
7299,169260.625
18648,252513.609375
14187,106522.8515625
5636,187394.609375
8965,320229.6875
11729,89258.8515625
12310,129799.78125
10336,331925.875
11858,75853.5625
20408,317630.84375
17586,232298.484375
11375,234777.09375
18949,141592.796875
15851,258525.21875
9448,119501.3671875
3947,235383.140625
17812,215142.734375
14312,119109.609375
16656,192568.8125
16971,313304.3125
12795,82128.546875
2067,62312.62109375
13936,85012.0546875
14572,222725.390625
18679,265886
14243,118433.6875
1056,96518.5703125
11674,246952.09375
12543,111232.0390625
13647,69631.8515625
1417,159269.984375
14716,200285.828125
16099,249909.65625
18104,350538
14725,129198.390625
4042,378376.09375
371,136022.5625
7124,179602.6875
10453,257773.046875
483,176835.375
4335,317647.28125
19016,121802.0390625
14651,199447.1875
9678,109534.453125
780,146125.828125
8194,254014.625
19649,129487.1171875
4432,152625.390625
18865,150168.4375
11266,163873.390625
3415,147989.484375
18973,143279.953125
11670,209536.21875
12840,103731.9453125
3944,226502.859375
16152,314625.03125
181,153450.828125
18562,260015.921875
15521,141887.265625
16467,124938.9140625
20521,73336.5390625
1688,240632.171875
10158,264778.78125
10733,361429.75
17905,257271.90625
15232,309390.75
17162,405323
8652,342257.625
11106,211641.078125
3209,74984.359375
3197,78814.2734375
7117,184253.890625
18282,395137.46875
20018,92319.1640625
1615,333584.8125
12113,103265.8125
6033,131602.296875
16103,258197.546875
14851,99579.234375
14329,210168.25
1956,147945
6557,360519.8125
10349,250590.109375
1050,97945.2421875
1017,245386.34375
13346,94372.3984375
13545,90763.3203125
172,106587.125
12967,117536.7578125
16004,228195.109375
15779,215412.640625
16361,69677.7421875
9140,244756.859375
4556,202002.28125
18014,245659.046875
12883,109595.921875
6155,174655.265625
1678,105914.4375
640,170104.53125
2007,46180.83203125
9116,185466.40625
9624,54027.46484375
10290,259017.578125
10547,281431.53125
8422,172107.125
13889,64306.3203125
3977,271226.78125
457,211469.296875
2129,60954.26171875
15208,196758.859375
2966,117225.625
1020,200294.640625
20095,119638
5437,323859.8125
13641,89992.1953125
4982,118944.421875
9641,110025.3828125
7434,141767.59375
11296,178701.140625
13016,184723.765625
17292,375473.78125
20461,265503.375
4031,233620.796875
9918,196568.875
18615,220579.3125
4437,146515.28125
8413,144638.390625
13035,191380.375
6626,165615.3125
16702,152295.890625
15203,220885.96875
1425,176297.328125
9065,100160.7734375
9616,71340.1015625
18154,307383.84375
6853,241846.375
8720,348780.34375
4851,139749.15625
20524,136365.875
4347,396871.4375
8984,290601.1875
3687,165880.5625
12725,126334.6875
11708,166761.03125
16884,307825.21875
3289,83282.078125
8625,340362.3125
3396,219203.9375
11246,237881.796875
6480,185558.234375
9151,219497.859375
16283,98961.78125
13025,151910.375
6635,318753.6875
6599,155073.8125
17520,211729.53125
19740,101323.3828125
17815,270575.1875
11408,230617.609375
10752,365125.25
14873,138302.6875
454,240829.515625
2984,71651.3984375
12104,72691
16042,233727.921875
8433,237805.75
20248,227132.40625
1220,126611.609375
14850,105232.828125
8488,150144.765625
10022,111940.796875
2430,65304.69921875
20618,88440.453125
10587,194693.46875
12105,142457.015625
5553,229771.203125
14013,310135.78125
7419,144304.171875
9695,130273.3515625
19014,255458.796875
15432,131194.984375
8410,160828.25
6949,161958.09375
38,126885.921875
17526,224567.84375
10209,215652.234375
20334,308086.90625
2925,68362.625
7495,87275.4140625
7834,149011.109375
2253,117160.140625
3760,201853.1875
9394,396380.4375
1739,182579.625
8221,129660.34375
9335,216834.375
7611,116193.2578125
19101,172379.109375
16281,97772.921875
11037,246123.859375
1285,88782.3984375
12693,191454.109375
17011,292017.875
14496,177546.671875
13854,127632.7265625
390,190344.265625
17669,180622.109375
18035,319991.09375
10297,279823.40625
12716,202447.140625
16726,216160.546875
3132,123866.1953125
8749,345107.15625
18796,67664.3203125
12135,114780.6328125
4922,125537.6640625
18392,298839.5
3352,105333.5078125
18944,143809.71875
12126,120747.6328125
16359,82390.671875
2553,87969.5859375
12478,80893.859375
2756,85873.9609375
18306,396709.03125
18385,356861.09375
5850,227413.0625
12854,111946.1328125
7076,275920.0625
8861,336918.625
3557,367529.3125
4897,115260.109375
20038,57289.31640625
887,190492.109375
19813,109855.921875
17907,229444.078125
6368,226681.1875
9162,232137.65625
5080,123437.0859375
17053,341471.875
13226,147923.71875
18603,289800.5625
1757,218365.34375
4027,291583.03125
11570,202908.15625
17693,244488.859375
806,195739.65625
10739,396092.15625
13427,74167.375
3408,189282.0625
9284,333171.09375
9191,160593.046875
16320,129832.625
8716,358714.28125
5288,418314.5
3135,122804.90625
12579,80323.25
6737,398065.65625
12077,154580.359375
82,134145.3125
5828,253472.953125
11005,214916.078125
1723,72799.8984375
12023,162156.6875
7288,183887.296875
16091,254938.109375
1714,173049.9375
319,78616.5
6097,155484.0625
14922,166955.234375
11586,207813.109375
11042,339096.5
13132,86602.8203125
486,237186.25
18086,394093.09375
9380,300167.21875
173,157403.21875
991,299173.6875
3262,73538.09375
15856,259794.0625
12617,204039.59375
9158,186829.203125
1279,169350.171875
13957,135846.96875
13589,66404.03125
8831,306290.6875
6870,198432.125
16612,208913.546875
18941,128869.921875
5294,426217.40625
14402,268918.09375
13937,133569.375
15534,131039.5546875
17893,228809.640625
6641,174965.84375
10242,201099.53125
18311,332063.46875
525,164558.828125
13332,143895.78125
17195,370390.375
15887,151895.84375
10018,166077.03125
13244,237800.5
5858,203923.59375
17010,304493.09375
5595,199484.28125
1415,271177.1875
13456,118612.125
18950,103159.1796875
17954,288651.21875
10975,179577.765625
397,218790.703125
19977,83507.578125
2420,52730.41015625
2779,68790.4921875
14698,137486.15625
4993,142556
7357,170560.875
6357,165449.125
15706,328354.4375
913,259533.375
11530,161422.453125
15871,222712.328125
17331,253153.921875
9617,72053.4453125
7810,134596.421875
12011,155502.515625
12467,108185.7109375
4143,233901.734375
7726,178790.703125
4957,137849.65625
13321,126951.3046875
3316,121979.3828125
11518,366931.375
8553,248042.9375
18507,309603.03125
4317,292364.34375
7903,319520.125
2601,82854.453125
6932,157953.453125
14480,329273.0625
19556,123592.8359375
18025,263661.34375
3137,59221.4140625
18324,401099.84375
7206,134951.484375
11895,89587.9609375
10455,147229.796875
1933,158827.53125
1408,216884.546875
18143,368173.25
8737,296303.125
139,283622.0625
12630,87797.5859375
11038,337762.5
19875,37245.14453125
11574,217348.734375
17055,336762.6875
13605,114833.9140625
15987,254877.78125
6813,236858.28125
8822,331114.40625
13072,91162.328125
16303,154549.515625
14421,207091.59375
14398,256364.15625
360,210385.875
2622,153612.578125
13293,158368.59375
14446,250426.25
3680,173560.25
4915,95955.9375
7563,135305.90625
463,228509.171875
18505,408190
5436,315571.625
12106,91005.125
11421,314564.8125
11368,255576.296875
18340,377215.9375
4548,146145.828125
4836,204044.25
3367,81510.1875
14609,203866.375
1780,169304.328125
2042,220942.796875
4467,166159.0625
8106,155580.40625
5047,265324.5625
1190,70485.8671875
16241,92307.6171875
2181,88594.5234375
10286,290940.90625
1383,217316.546875
6848,219231.34375
19474,117527.390625
2552,81616.671875
8998,230984.640625
15158,227353.0625
12789,65094.53515625
5450,340090.65625
7686,177569.640625
6843,178153.796875
15413,228885.09375
18726,99671.0234375
6055,229322.046875
11942,116959.2421875
10531,220175.53125
18895,142131.609375
3697,176837.546875
14292,158588.125
4501,195175.640625
5031,113107.5859375
14820,132361.390625
15140,180784.703125
13033,217898.15625
16088,253656.765625
9474,91158.5234375
18716,59765.24609375
19224,252095.34375
8606,256406.59375
12568,84807.53125
2454,92008.0234375
3641,157702.75
4590,222332.953125
6546,174523.84375
19022,148163.640625
19512,94183.1328125
1563,245719.484375
3263,86064.609375
13158,148303.53125
8764,412568.90625
14061,159521.890625
19184,224243.765625
7489,134925.265625
8351,184271.609375
2239,81352.953125
16262,83522.21875
4762,236735.265625
8934,368388.5
17999,311067.90625
2699,76128.8671875
10552,289122.71875
194,109996.1171875
10600,258266.65625
12828,122288.21875
16005,368710.34375
3406,286751.34375
7469,116578.375
2194,52800.421875
2518,79987.453125
10418,345433.03125
4202,181782.03125
17763,196268.6875
17310,315729.9375
8631,313479.84375
10101,198527.625
16148,332438
19019,128627.84375
18256,350968.625
15234,307584.15625
8856,374285.5
11511,260342.5625
1426,161342.859375
9283,283661.65625
2765,73406.546875
11606,287408.875
15277,242747.65625
8491,174719.1875
14948,177686.96875
289,154234.921875
14567,205943.421875
6984,195293.515625
16590,118105.2265625
19709,118577.1015625
16212,129342.984375
7345,162657.96875
9245,83639.8515625
10747,290357.34375
12534,90008.4140625
15161,212012.484375
884,228087.09375
7792,137031.828125
19054,125656.7109375
10322,245219.0625
15121,143231.515625
13755,202082.5625
2650,67173.8828125
9965,206187.59375
16653,220028.984375
8214,155038.796875
2605,101874.625
681,214563.21875
7504,100358.4296875
12094,132629.453125
2683,52507.3984375
11267,192367.34375
9573,57801.78125
18368,298018.90625
8727,340127.90625
3529,225752.1875
2566,96789.9921875
6574,202921.40625
17301,280595.9375
8420,177076.4375
6970,161275.9375
1602,194819
5975,169434.109375
11199,180166.65625
