id,median_house_value
14769,158413.8203125
16487,141440.48033854167
2879,51169.279524739584
19071,253739.962890625
12053,115115.29674479167
17077,172621.18411458333
10624,239504.0703125
10320,380808.0645833333
5406,288414.40533854166
10840,443038.4395833333
20172,242355.633984375
12112,84007.49466145833
9762,254961.3248697917
13614,89829.33203125
8503,237092.612109375
3237,53788.10198567709
2088,55114.98336588542
7275,127500.98619791666
3845,198278.7005208333
9369,297979.27369791665
20259,182908.9524739583
3882,226974.96927083333
3404,265219.89140625
2479,52286.13642578125
7299,172488.199609375
18648,205499.94557291665
14187,115972.84850260417
5636,184116.6595703125
8965,292695.5921875
11729,89833.33567708333
12310,128939.9375
10336,425855.76145833335
11858,88177.488671875
20408,343428.65598958335
17586,248955.646484375
11375,238007.2734375
18949,179311.390625
15851,244450.57838541665
9448,111608.96354166666
3947,223617.7467447917
17812,224984.91888020834
14312,137747.705859375
16656,191204.46575520834
16971,263686.2501302083
12795,86156.41106770834
2067,69239.78037109374
13936,114503.39622395833
14572,190832.8229166667
18679,252309.28828125
14243,130886.55032552083
1056,122509.30729166666
11674,246938.50768229167
12543,100610.02122395833
13647,74695.492578125
1417,167145.255859375
14716,246411.66497395834
16099,264510.1510416666
18104,392928.6
14725,149563.6744791667
4042,363594.7010416667
371,151429.52682291667
7124,187490.82760416667
10453,222514.57604166667
483,164999.09934895835
4335,282050.61419270834
19016,123860.7572265625
14651,164219.4635416667
9678,137345.29075520835
780,157666.04446614583
8194,255830.159765625
19649,112207.7435546875
4432,172309.0705078125
18865,139279.793359375
11266,205085.16940104167
3415,201483.99114583334
18973,167751.82643229165
11670,201311.26080729166
12840,98283.08444010417
3944,240683.74635416665
16152,299257.8783854167
181,128046.53776041667
18562,246133.07890625
15521,133040.464453125
16467,149043.24563802083
20521,77941.5343424479
1688,241007.18072916666
10158,308091.7994791666
10733,317916.95794270834
17905,270860.77122395835
15232,449056.5052083334
17162,481293.3822916667
8652,324060.52630208334
11106,201837.21966145834
3209,78478.17034505209
3197,82725.34134114583
7117,201077.441015625
18282,489486.234375
20018,96676.64225260416
1615,375512.07916666666
12113,132602.01783854165
6033,139828.75592447916
16103,276092.60247395834
14851,115745.45358072917
14329,161876.0807291667
1956,128965.45716145834
6557,467212.725
10349,277848.7375
1050,124199.11979166667
1017,247751.58125
13346,104187.81770833334
13545,109285.51692708334
172,125494.97734375
12967,113943.16490885417
16004,226732.958203125
15779,190134.5026041667
16361,91867.6888671875
9140,226507.90625
4556,216387.0598958333
18014,245242.19127604167
12883,100646.303125
6155,176127.12994791666
1678,99255.15188802083
640,184604.128515625
2007,66513.69560546875
9116,218772.94947916665
9624,74574.4759765625
10290,291394.9666666667
10547,333146.3020833334
8422,213303.50950520835
13889,77495.64189453125
3977,307028.3052083333
457,231803.53033854166
2129,74494.98974609375
15208,203401.62591145834
2966,77222.05123697917
1020,204585.058984375
20095,134180.40826822916
5437,283745.87330729165
13641,89008.89375
4982,124258.1912109375
9641,96895.89049479167
7434,166397.18893229167
11296,178523.70221354166
13016,168383.952734375
17292,389982.7143229167
20461,315564.553125
4031,226131.76953125
9918,164230.7994791667
18615,238520.93385416665
4437,190620.8765625
8413,175984.4349609375
13035,239757.465625
6626,196572.952734375
16702,170116.91315104166
15203,256053.8177083333
1425,145823.6953125
9065,124873.67578125
9616,83319.2208984375
18154,263819.20221354166
6853,226743.08046875
8720,314965.1166666667
4851,163455.50533854167
20524,131313.44739583333
4347,457856.09270833334
8984,276491.3494791667
3687,195658.65091145833
12725,147240.1267578125
11708,129880.75084635417
16884,305083.1106770834
3289,85887.73489583333
8625,311986.4734375
3396,205257.50703125
11246,242645.37877604167
6480,188472.9401041667
9151,239735.541796875
16283,112460.55559895834
13025,120561.14908854166
6635,386285.28880208335
6599,168304.659765625
17520,219965.92981770833
19740,103502.30123697917
17815,289596.48020833335
11408,218944.564453125
10752,392351.88125
14873,133793.6184895833
454,240307.09973958333
2984,74957.98209635416
12104,84283.4734375
16042,210264.86373697917
8433,218950.03815104166
20248,230383.81692708333
1220,146897.20078125
14850,113458.07805989584
8488,179001.163671875
10022,110758.93177083333
2430,57483.88248697917
20618,101581.37845052083
10587,216979.3723958333
12105,108588.53125
5553,243062.85885416667
14013,190569.3020833333
7419,149040.0052083333
9695,148936.92604166665
19014,252040.57916666666
15432,147672.09772135416
8410,164066.9478515625
6949,182363.86822916666
38,116417.80338541666
17526,233504.4368489583
10209,226150.788671875
20334,349123.28125
2925,69989.54944661458
7495,110386.58450520833
7834,169864.52239583334
2253,87966.94921875
3760,213030.44166666665
9394,387542.6583333333
1739,159889.8072916667
8221,119711.0705078125
9335,237637.02526041667
7611,114358.86555989584
19101,204817.922265625
16281,105126.48059895833
11037,230478.80494791665
1285,103329.46809895834
12693,195956.2630208333
17011,291446.1856770833
14496,163629.80123697917
13854,95040.7404296875
390,171757.48190104167
17669,205999.0693359375
18035,323125.8002604167
10297,283154.69309895835
12716,234819.1046875
16726,223845.13307291665
3132,129214.78736979167
8749,343871.27239583334
18796,89431.39095052084
12135,139712.92473958334
4922,136957.2787109375
18392,343502.03046875
3352,123527.30123697917
18944,145021.61184895833
12126,112652.77109375
16359,98399.77552083333
2553,91177.59895833334
12478,75317.68805338541
2756,83734.46529947917
18306,412466.3989583333
18385,432966.725
5850,215407.240234375
12854,86106.38997395834
7076,297209.0994791667
8861,290822.69895833335
3557,444465.01666666666
4897,138951.353515625
20038,72492.61754557292
887,194779.39479166665
19813,98734.27259114583
17907,242185.79440104167
6368,348748.4666666667
9162,225092.98255208333
5080,165288.8091796875
17053,307954.284765625
13226,146119.745703125
18603,375338.2565104166
1757,195801.550390625
4027,327887.74140625
11570,209216.25221354165
17693,288496.81614583335
806,208503.448046875
10739,324709.8790364583
13427,121427.4921875
3408,200990.84596354165
9284,287454.70416666666
9191,179703.76184895833
16320,136055.1842447917
8716,363176.9095052084
5288,330354.6919270833
