id,median_house_value
14769,162216.0625
16487,139998.8125
2879,58902.30859375
19071,263311.0625
12053,98185.8984375
17077,194089.4375
10624,257810.765625
10320,348939.375
5406,298762.40625
10840,429918.75
20172,233609.46875
12112,84212.8828125
9762,246755.984375
13614,93619.6328125
8503,221552.4375
3237,57244.0859375
2088,50834.8984375
7275,120209.3359375
3845,212160.390625
9369,316205.625
20259,183477.46875
3882,230956.78125
3404,255775.375
2479,56058.27734375
7299,145294.203125
18648,203915.78125
14187,122709.671875
5636,166136.84375
8965,283587.125
11729,84866.4921875
12310,117804.375
10336,418968.78125
11858,82246.7421875
20408,334772.09375
17586,217428.765625
11375,244248.375
18949,169139.140625
15851,268811.90625
9448,113170.4921875
3947,224904.71875
17812,211438.4375
14312,118230.5234375
16656,186704.21875
16971,275953.59375
12795,81497.375
2067,70092.90625
13936,136693.625
14572,203902.1875
18679,274578.9375
14243,136773.671875
1056,103758.1484375
11674,234845.046875
12543,106965.34375
13647,81620.1796875
1417,140437.71875
14716,220584.25
16099,255524.53125
18104,374198
14725,158524.421875
4042,390516.6875
371,155641.34375
7124,186345.859375
10453,237011.953125
483,175042.984375
4335,279739.8125
19016,146169.21875
14651,179252
9678,123507.890625
780,182746.09375
8194,226595.96875
19649,115502.78125
4432,163738.53125
18865,141262.265625
11266,201040.484375
3415,191056.5625
18973,170908.09375
11670,202394.765625
12840,96844.359375
3944,251497.78125
16152,292485.21875
181,125006.78125
18562,249238.25
15521,144223.546875
16467,139421.296875
20521,84806.734375
1688,247666.78125
10158,270900.53125
10733,308206.84375
17905,264917.5625
15232,426205.09375
17162,491410.1875
8652,339262.71875
11106,207814.046875
3209,71957.9453125
3197,70903.703125
7117,198477.640625
18282,491649.375
20018,89398.9296875
1615,340558.9375
12113,128903.3359375
6033,140305.359375
16103,281953.6875
14851,112272.3984375
14329,169772.09375
1956,120374.109375
6557,446591.5
10349,259421.09375
1050,116296.3046875
1017,236536.875
13346,109237.703125
13545,107110.7890625
172,138922.46875
12967,117262.9140625
16004,225809.859375
15779,224099.125
16361,101317.2890625
9140,216937.625
4556,220582.828125
18014,241976.5
12883,118694.75
6155,182418.09375
1678,103328.296875
640,168758.40625
2007,60846.75390625
9116,195137.59375
9624,73280.21875
10290,261848.296875
10547,299921.0625
8422,202995.4375
13889,79228.7734375
3977,293325.21875
457,229676.125
2129,75410.828125
15208,203292.984375
2966,95522.8125
1020,187468.984375
20095,139281.21875
5437,306871.84375
13641,89090.5078125
4982,120739.9375
9641,103336.5546875
7434,144643.671875
