id,median_house_value
14769,397475.09375
16487,394225.3125
2879,152742.109375
19071,465282.03125
12053,247072.640625
17077,297736.15625
10624,446858.28125
10320,489614.5625
5406,526417.5625
10840,523751.40625
20172,487594.71875
12112,263495.9375
9762,485083.5625
13614,407776.6875
8503,467047.09375
3237,159353.625
2088,152463.59375
7275,200148.53125
3845,308218.1875
9369,465594.59375
20259,474309.8125
3882,482446.84375
3404,469260.5625
2479,154148.46875
7299,331492.34375
18648,422636.8125
14187,314602.84375
5636,241582.75
8965,500896.78125
11729,147030.703125
12310,310408.53125
10336,491037.09375
11858,189247.359375
20408,482185.5
17586,476314
11375,498647.71875
18949,402480.84375
15851,497237.0625
9448,397557.53125
3947,481024
17812,498785
14312,223864.296875
16656,423470.59375
16971,493004.4375
12795,155363.71875
2067,200445.40625
13936,399763.65625
14572,444917.25
18679,451316.78125
14243,394577.40625
1056,290258.9375
11674,462809
12543,292836.4375
13647,157515.3125
1417,432253.625
14716,387920.125
16099,453445.71875
18104,479653.34375
14725,371164.21875
4042,492545.125
371,432083.875
7124,474966.96875
10453,462870.46875
483,494479.0625
4335,501963.34375
19016,379336.65625
14651,380143.9375
9678,382961.125
780,319610.6875
8194,444924.875
19649,418574.8125
4432,361913.90625
18865,392643.65625
11266,466881.875
3415,426314.5
18973,407595
11670,465092.25
12840,303492.78125
3944,481115.28125
16152,503240.6875
181,409481.5625
18562,474839.78125
15521,331075.46875
16467,403836.46875
20521,184405.734375
1688,429121.53125
10158,452781.125
10733,562319
17905,496609.75
15232,521087.625
17162,491962.90625
8652,488069.9375
11106,431701.34375
3209,149052.546875
3197,271061.65625
7117,474406.90625
18282,482986.125
20018,447663.75
1615,448126.75
12113,423125.6875
6033,448421
16103,474337.8125
14851,321956.1875
14329,460316.3125
1956,284370.46875
6557,470133.84375
10349,450913.84375
1050,241386.265625
1017,424398.625
13346,237008.046875
13545,396269.3125
172,309979
12967,283040.6875
16004,493091.78125
15779,264182.0625
16361,173621.015625
9140,397283.09375
4556,240553.921875
18014,487660.5
12883,287694.53125
6155,441503.875
1678,207803.546875
640,430405.15625
2007,164262.484375
9116,428635.15625
9624,168617.203125
10290,427858.65625
10547,423758.15625
8422,464934.96875
13889,149839.015625
3977,478795.25
457,433015.15625
2129,204256.640625
15208,470943.625
2966,312529.40625
1020,434490.9375
20095,105185.953125
5437,493322.28125
13641,220552.9375
4982,214256.390625
9641,385281.0625
7434,387673.21875
11296,435031.90625
13016,335040.84375
17292,556232
20461,465660.5
4031,497405.90625
9918,392281.8125
18615,501227.71875
4437,267396.65625
8413,403102.21875
13035,319640.5
6626,417346.0625
16702,405304.0625
15203,400402.71875
1425,165804.3125
9065,447330.875
9616,158177.671875
18154,475490.59375
6853,498521.5625
8720,463943.75
4851,309308.21875
20524,309814.75
4347,498605.78125
8984,506687.5625
3687,478841.28125
12725,336649.0625
11708,132743.71875
16884,491033.65625
3289,137846.390625
8625,473726.5625
3396,473129.1875
11246,451817.5625
6480,512169.875
9151,486897.34375
16283,347068.9375
13025,291126.59375
6635,479421.5625
6599,367536.5
17520,488870.78125
19740,275625.4375
17815,460493.6875
11408,467208.53125
10752,543237.3125
14873,386018.71875
454,474223.5
2984,441883.125
12104,154903.40625
16042,391524.40625
8433,461805.4375
20248,443198.03125
1220,405432.3125
14850,251090.578125
8488,394244.625
10022,180658.453125
2430,147357.515625
20618,293515.5
10587,440382.1875
12105,181956.5625
5553,427925.9375
14013,465347.65625
7419,441361.59375
9695,289933.0625
19014,367629.8125
15432,330020.5625
8410,263163.46875
6949,423414.9375
38,251724.703125
17526,486623.1875
10209,455110.375
20334,457734.125
2925,162286.078125
7495,266557.4375
7834,425374.90625
2253,408619.03125
3760,442323.25
9394,497304.6875
1739,428909.1875
8221,325745.84375
9335,414655.09375
7611,276760.5
19101,455197.34375
16281,220589.515625
11037,433840.8125
1285,222062.984375
12693,310370.875
17011,496254.09375
14496,371444.4375
13854,133363.703125
390,453353.0625
17669,487385.25
18035,462035.5
10297,439112
12716,326849.75
16726,455443.1875
3132,395670.4375
8749,497865.34375
18796,159992.015625
12135,401627.46875
4922,184367.34375
18392,454903.28125
3352,300682.25
18944,398213.96875
12126,411356.4375
16359,139964.34375
2553,232392.484375
12478,220025.109375
2756,252442.703125
18306,484900.03125
18385,484112.8125
5850,317681.9375
12854,298796.15625
7076,451529.90625
8861,507190.21875
3557,488149.6875
4897,224595.625
20038,302236.59375
887,501071.1875
19813,422909.3125
17907,496170.5
6368,484090.9375
9162,481356.5
5080,445178.15625
17053,469590.5625
13226,434051.5
18603,464294.53125
1757,410893.78125
4027,492311.25
11570,462396.0625
17693,490998.3125
806,472156.5625
10739,555518.6875
13427,401068.28125
3408,490635.21875
9284,466805.96875
9191,284780.5625
16320,283527.21875
8716,467074.875
5288,512682
3135,374147.40625
12579,248289.53125
6737,503777.5
12077,425465
82,232827.109375
5828,498572.84375
11005,439979.15625
1723,257524.1875
12023,414705.21875
7288,271760.65625
16091,461579.3125
1714,404872.5
319,235132.859375
6097,467538.625
14922,387271.78125
11586,458059.21875
11042,494176.84375
13132,320887.5
486,283346.75
18086,477771.5625
9380,477010.25
173,327281.03125
991,428009.34375
3262,307545.84375
15856,465537
12617,308746.21875
9158,491102.3125
1279,484455.9375
13957,240925.28125
13589,141727.484375
8831,492017.09375
6870,483377.03125
16612,462331.8125
18941,391479.5625
5294,519843.78125
14402,353626.8125
13937,395817.78125
15534,320312.65625
17893,494191.46875
6641,233676.890625
10242,433323.96875
18311,500169.15625
525,432254.25
13332,450271.71875
17195,516272.1875
15887,258845.125
10018,308793.28125
13244,455428.71875
5858,482424.8125
17010,492650.625
5595,444968.53125
1415,422541.78125
13456,414081.625
18950,281394.5
17954,471780.125
10975,467217.1875
397,484055.34375
19977,351105.125
2420,169442.796875
2779,179535.859375
14698,390690.71875
4993,274512.9375
7357,366853.40625
6357,503076.03125
15706,459136.3125
913,458215.75
11530,264352.96875
15871,524905.25
17331,458342.4375
9617,348604.8125
7810,474836.28125
12011,418132.03125
12467,319151.9375
4143,536971.9375
7726,468340.71875
4957,248231.734375
13321,309067.96875
3316,277342.40625
11518,526185.5625
8553,383050.375
18507,415288.59375
4317,355738.375
7903,476868.46875
2601,217104.328125
6932,425276.0625
14480,512007.5
19556,460116.15625
18025,456277.8125
3137,394541.5
18324,487187.40625
7206,227211.28125
11895,408823.625
10455,394850.6875
1933,302249.59375
1408,381289.34375
18143,474737.15625
8737,500589.46875
139,420900
12630,329162.125
11038,491770.96875
19875,186748.890625
11574,459416.1875
17055,460151.46875
13605,402662.75
15987,437468.21875
6813,497526.25
8822,519558.84375
13072,327304.03125
16303,393025.03125
14421,407914.25
14398,277387.8125
360,416790.84375
2622,336961.28125
13293,443174.34375
14446,378879.71875
3680,489409.59375
4915,281823.78125
7563,419119.96875
463,291957.6875
18505,451558
5436,518836.46875
12106,417924.5
11421,476076.375
11368,471021.21875
18340,484664.875
4548,503222.46875
4836,243512.609375
3367,294956.03125
14609,433365.1875
1780,400630.4375
2042,389361.34375
4467,523089.03125
8106,350053.71875
5047,478445.3125
1190,241401.5625
16241,417757.96875
2181,447374.25
10286,489909.5625
1383,414135.28125
6848,533056.5
19474,208439.265625
2552,332255.71875
8998,479539.78125
15158,397135.875
12789,149008.046875
5450,516501.78125
7686,470839.09375
6843,257125.546875
15413,407713.6875
18726,298688.03125
6055,450476.84375
11942,407666.59375
10531,443771.625
18895,408962.09375
3697,483863.21875
14292,446777.40625
4501,239522.140625
5031,250718.78125
14820,202528.765625
15140,385055.1875
13033,328243.5
16088,471735.34375
9474,313890.46875
18716,154947.75
19224,423658.09375
8606,485504.09375
12568,282862.96875
2454,452953.3125
3641,492256.5
4590,175219.40625
6546,454002.78125
19022,373267.15625
19512,402873.375
1563,442909.65625
3263,287987.6875
13158,427000.3125
8764,496139.0625
14061,307310.90625
19184,425011.28125
7489,461196.3125
8351,437920.0625
2239,406680.75
16262,171550
4762,504897.8125
8934,504201.46875
17999,462077.71875
2699,158288.234375
10552,496044.5
194,224184.390625
10600,447783
12828,309308.34375
16005,489464.25
3406,455307.6875
7469,461881.25
2194,420059.9375
2518,224363.234375
10418,507847.40625
4202,322667.15625
17763,494568
17310,540196.125
8631,477453.46875
10101,446446.03125
16148,513652.15625
19019,392542
18256,473354.78125
15234,521534.125
8856,504199.75
11511,451120.46875
1426,288725.3125
9283,444479.78125
2765,189919.953125
11606,462335.59375
15277,446691.375
8491,153414.78125
14948,384139.375
289,433930.46875
14567,431655.9375
6984,455902.0625
16590,199673.03125
19709,281361.09375
16212,417370.9375
7345,316125.75
9245,379568.125
10747,556427.1875
12534,163770.84375
15161,394570.46875
884,472874.96875
7792,461875.84375
19054,394727
10322,426902.75
15121,395635.125
13755,415754.375
2650,191018.125
9965,325446.125
16653,246646.5
8214,200341.078125
2605,299007.78125
681,424715.0625
7504,228453.3125
12094,415405.9375
2683,149668.15625
11267,457917.15625
9573,467329.3125
18368,470300.03125
8727,481139.15625
3529,466422.6875
2566,292829.625
6574,495594.3125
17301,470690.1875
8420,334986.84375
6970,429207.625
1602,352502.84375
5975,452394.84375
11199,319685.65625
9961,372996.8125
7531,444052.3125
3503,478120.15625
11150,457804
16567,408886.84375
5540,491585.65625
10678,557670.1875
8694,464241.34375
14718,408711.71875
19898,174775.015625
6179,454673.65625
1670,386582.3125
2784,178565.546875
4305,242166.40625
2101,161228.671875
16534,163381.21875
11526,467773.875
15360,395732.3125
2015,152143.3125
11792,298653.9375
10478,439486.03125
10493,509308.40625
18006,473993.5625
5919,482553.5
11137,456075.75
8175,453457.21875
501,263155.40625
20586,343818.09375
15707,440972.21875
14779,392291.6875
9863,399271.28125
3465,476696.5
1851,284978.375
7376,425669.15625
16926,493356
10903,212773
11283,438439.25
16431,406751.4375
19253,337830.40625
1224,156152.765625
11208,435911.28125
9702,423126.875
863,451615.84375
9628,445136
5043,243129.203125
11186,448212.90625
10722,550512.5625
15141,381111.5625
20170,472315.9375
8552,486466.375
7027,474542.8125
18484,518714.78125
12410,162752.3125
13405,341661.90625
9074,216326.46875
3318,173870.34375
5953,452651
12313,312107.71875
7058,457621.6875
6132,508994.28125
20082,389083.5625
14828,199689.546875
13212,439687.03125
7388,318103.21875
18444,481488.78125
5955,356547.1875
12442,309934.28125
12017,416619.65625
17419,483217.625
5141,164161.984375
6468,499333.3125
18684,480162.90625
5366,500723.65625
17579,472938.8125
1943,302465.96875
14789,296250
18522,479338.34375
464,437933.3125
12922,299616.71875
9684,383099.59375
15439,434608.84375
20204,478577.4375
10827,392470.59375
11188,450943.4375
10383,474639.84375
13878,191401.59375
12004,405883.375
4010,461313.34375
3431,482845.28125
17066,441973.625
5270,522899.21875
4149,517336.1875
8408,325585
3860,460891.78125
5249,501585
6778,499186.71875
12481,170370.484375
17982,473833.4375
1811,275605.78125
8496,467337.1875
15007,321972.34375
5891,488725.0625
15571,400350.375
11201,198384.15625
3006,363375.15625
3883,516528.6875
2499,168991.015625
3788,385164.875
14623,428635.5
10064,163701.1875
17543,375722
9645,486285.40625
5083,447760.625
6416,509084.28125
6863,535534.5
10141,359792.46875
12193,326378.09375
1239,359808.53125
6767,504761.1875
19597,451616.5
15002,236389.203125
16711,467005.53125
14426,425149.78125
2673,177173.15625
18830,288395.21875
6084,453639.5625
16477,182582.25
13898,200628.234375
6360,521366.34375
17322,493741.625
13528,131570.640625
15231,516674.3125
7016,462047.5625
18942,378654.28125
14390,458013.71875
1939,306842
