id,median_house_value
14769,350973.5712999999
16487,319134.4523
2879,144359.16896666668
19071,412781.3292333332
12053,225234.86956666666
17077,292346.31933333335
10624,378817.7830666667
10320,423080.5190333333
5406,416830.4215666667
10840,429470.99846666673
20172,404373.0822666665
12112,240673.19499999998
9762,423397.3112666665
13614,331848.6765333333
8503,398545.11723333324
3237,140480.19416666674
2088,142468.65383333334
7275,238792.89740000005
3845,289481.1235333333
9369,413210.67466666654
20259,395568.1493999999
3882,411241.9807333332
3404,438920.10919999995
2479,142950.2338
7299,295664.2761999999
18648,408665.63093333336
14187,283573.3219
5636,221414.48129999996
8965,402193.77653333324
11729,159435.9099666667
12310,313090.5795333333
10336,426730.05499999993
11858,203684.60756666673
20408,443106.0233999999
17586,407444.23646666657
11375,383898.25963333325
18949,323292.70616666676
15851,399722.0118333331
9448,340172.6379333334
3947,411212.1893999999
17812,395507.27209999994
14312,212759.31813333332
16656,385433.09116666665
16971,409520.22733333317
12795,159597.75746666663
2067,215761.69273333342
13936,349030.71813333326
14572,398065.45050000004
18679,406895.6245
14243,341383.7359333333
1056,316539.3403666666
11674,386486.69589999993
12543,275485.98580000014
13647,170040.72370000003
1417,371649.63926666667
14716,386311.90830000007
16099,408473.81029999995
18104,422232.6805333333
14725,345584.1878333333
4042,442930.69423333334
371,398271.0021666665
7124,371096.78733333334
10453,385804.5734333335
483,381278.40519999986
4335,420375.0419666667
19016,323872.1882333333
14651,346584.1435666666
9678,340616.06979999994
780,328594.2431333332
8194,412606.3451333333
19649,316640.5816333333
4432,303196.46303333336
18865,368608.7293333333
11266,368860.2458333333
3415,379009.69
18973,320358.95513333345
11670,384118.4844666666
12840,318573.1218
3944,412071.45119999995
16152,414354.36886666657
181,339367.42226666666
18562,408872.23866666656
15521,316133.57886666653
16467,322392.78349999996
20521,195883.60923333338
1688,381711.4080999999
10158,396380.2335
10733,427292.0291
17905,403035.42819999985
15232,414073.0976999999
17162,437943.0916666666
8652,412410.0362666666
11106,379370.11579999985
3209,156396.5441333334
3197,227969.4957666667
7117,390603.06093333324
18282,443920.35466666665
20018,327928.8751666667
1615,424580.14973333315
12113,329414.4267666666
6033,341367.2732333333
16103,405242.36566666665
14851,276647.4718666667
14329,389541.24813333334
1956,281649.88873333327
6557,376339.0779666667
10349,393621.31383333344
1050,285018.8201333334
1017,351887.02160000004
13346,224054.3027333334
13545,341181.19716666674
172,302889.0418333334
12967,315247.9403999999
16004,395327.2505666665
15779,248788.8266
16361,171855.37340000004
9140,361147.20553333324
4556,248937.60860000004
18014,401961.2878666666
12883,316380.4759333333
6155,357911.88546666683
1678,218273.53110000002
640,406683.3988999998
2007,145285.35383333336
9116,348748.53536666656
9624,158399.58473333332
10290,384832.3632666666
10547,378807.80899999995
8422,393099.84676666657
13889,165476.4481000001
3977,441338.3483999999
457,421465.18426666653
2129,201026.10096666674
15208,401737.68086666684
2966,271297.4000000001
1020,347743.4552666667
20095,200673.11863333345
5437,378097.3552666668
13641,205726.40556666668
4982,221818.0685
9641,283638.0558999999
7434,317080.91669999994
11296,367767.56076666666
13016,324291.45960000006
17292,440379.4983
20461,419377.2506333332
4031,405829.33206666657
9918,387486.5561333332
18615,400411.9219333332
4437,257568.93223333333
8413,366883.5202333333
13035,316967.9318999999
6626,358210.18883333344
16702,378949.55226666667
15203,396091.8694
1425,197984.86233333335
9065,327051.6393999999
9616,168510.6668
18154,427352.13733333326
6853,399778.4133666665
8720,409020.9786
4851,289445.15233333333
20524,326407.25039999996
4347,446763.49969999987
8984,410033.60909999994
3687,393763.1322333333
12725,337219.1181
11708,142445.43196666669
16884,436541.7471333332
3289,188222.03290000005
8625,424672.5679333333
3396,394644.65333333326
11246,402262.56343333336
6480,377020.7842666666
9151,406200.6808666666
16283,285837.4830666666
13025,319256.9826666667
6635,425910.35829999996
6599,319583.05256666674
17520,391238.8390999999
19740,322188.52593333327
