id,median_house_value
14769,180801
16487,159615.91734375
2879,52189.723125
19071,266496.333125
12053,111486.26203125
17077,154478.1428125
10624,229623.955
10320,414408.2
5406,317017.778125
10840,470158.58
20172,247865.5534375
12112,93888.15140625
9762,237486.9290625
13614,92122.2071875
8503,219091.6034375
3237,50215.98109375
2088,65250.27609375
7275,116046.72671875
3845,200982.79765625
9369,308418.671875
20259,212008.2359375
3882,211154.5434375
3404,325416.1
2479,58216.742421875
7299,156824.8459375
18648,258203.753125
14187,126695.5
5636,155083.06625
8965,325298.88
11729,84906.830078125
12310,126074.66671875
10336,444806.22
11858,70155.133046875
20408,368825.096875
17586,242858.375625
11375,229057.0896875
18949,224595
15851,288285.1390625
9448,131673.5
3947,228709.64625
17812,209601.355625
14312,140059.0040625
16656,212700.291875
16971,322378.803125
12795,84070.28328125
2067,68247.574609375
13936,116382.09890625
14572,224798.9365625
18679,306712.9828125
14243,134856.16671875
1056,121914.84328125
11674,234166.46125
12543,99066.969140625
13647,74613.375546875
1417,190638.57875
14716,273826
16099,260860.614375
18104,375319.6
14725,153401.3340625
4042,449372.753125
371,189064.12625
7124,193348.2403125
10453,266866.0665625
483,199188.5996875
4335,333398.01625
19016,141788.06921875
14651,233978.2609375
9678,141404.51421875
780,217502.42
8194,296931.2534375
19649,123622.0215625
4432,147932.019375
18865,156029.5809375
11266,184879.2871875
3415,192907.311875
18973,206134.8
11670,203436.1259375
12840,116815.66765625
3944,283934.915
16152,339933.746875
181,186735.09609375
18562,280705.705
15521,141145.8425
16467,165183.0590625
20521,92794.6684375
1688,272434
10158,278494.2121875
10733,343216.843125
17905,338289.75125
15232,483168.74
17162,500001
8652,347819.61875
11106,230997.3428125
3209,67514.213359375
3197,66164.02375
7117,199492.098125
18282,499672.956875
20018,107221.85453125
1615,381680.115625
12113,130027.70578125
6033,138372.28328125
16103,268859.1209375
14851,118972.67765625
14329,270818.046875
1956,149939.66625
6557,445550.54
10349,305863.353125
1050,123675.058125
1017,238394
13346,105880.08328125
13545,136083.33328125
172,136940.5
12967,132925.95828125
16004,232452.6071875
15779,248648.8053125
16361,88994.16671875
9140,177879.7
4556,169115.523125
18014,266206.219375
12883,121702.689375
6155,175595.1134375
1678,114748.97609375
640,189849.3778125
2007,58827.271640625
9116,236360
9624,65305.22484375
10290,318919.333125
10547,344446
8422,211998.285625
13889,78643.98078125
3977,337229.03125
457,299692.046875
2129,72305.577578125
15208,220468.405
2966,77354.29515625
1020,197613.5
20095,116925.33328125
5437,262557.03
13641,94726.47625
4982,119836.699375
9641,94022.81671875
7434,156551.69625
11296,184001.6028125
13016,190753.35328125
17292,386860.34
20461,333110
4031,214336.590625
9918,193915
18615,248733.0315625
4437,164778.57375
8413,178790.5278125
13035,247504.06
6626,186979.5496875
16702,171514.5109375
15203,273616.02
1425,149873.8534375
9065,137246
9616,81031.6
18154,295651.1265625
6853,262094.4328125
8720,333247.566875
4851,148251.92890625
20524,128889.4696875
4347,454124.5
8984,299975.8284375
3687,205646.991875
12725,178310.1190625
11708,197826.02
16884,382184.805625
3289,83260.97234375
8625,330255.023125
3396,242607.21375
