id,median_house_value
14769,168521.03674952206
16487,136421.68625803737
2879,51338.05651543381
19071,254624.9340737652
12053,109104.70302902482
17077,147548.02402338872
10624,209131.13631831468
10320,347065.0090054228
5406,278958.71734615596
10840,355975.68022542266
20172,238371.82259676702
12112,97834.0932110371
9762,257578.06835606386
13614,97822.78799394044
8503,212296.5261546183
3237,44866.288703037164
2088,40687.47070334717
7275,120019.64400048854
3845,157989.56735651722
9369,294853.42225603154
20259,176671.12957287778
3882,230458.6351816881
3404,257970.9463258337
2479,48177.0997318763
7299,152654.55642812105
18648,236419.54666380672
14187,120231.05166616646
5636,141927.79254191837
8965,269184.81003303407
11729,67750.830891074
12310,127916.95799773734
10336,375657.2859912908
11858,69062.10064522128
20408,327079.9042805626
17586,247936.30953687258
11375,221178.57575275277
18949,185241.12207472516
15851,277375.83303832664
9448,112705.34497549507
3947,205910.3987691129
17812,210524.20849814892
14312,113730.02664426665
16656,239380.44937809126
16971,277291.86940064013
12795,65106.5647136987
2067,69906.73583649307
13936,116317.07357483022
14572,235829.31476284828
18679,277336.0807644204
14243,140744.4650723692
1056,118813.29136565467
11674,238663.40925171494
12543,120406.61475718638
13647,73076.28372412642
1417,168853.80763755462
14716,239225.8225318598
16099,264115.9041145999
18104,335645.988940821
14725,155645.04913114704
4042,338536.1234329892
371,164774.85036185445
7124,177591.63051265734
10453,240526.11047209718
483,192639.09401595255
4335,289994.30648206046
19016,146966.84581053228
14651,212040.26182751835
9678,121122.93979845976
780,171569.45836196496
8194,283816.1072421859
19649,120042.91741535201
4432,145770.19989383055
18865,157875.41406946565
11266,184134.7174070223
3415,168296.71827777108
18973,166984.51378760344
11670,187664.068610423
12840,112990.55171364834
3944,251660.8341493023
16152,310332.3394802767
181,198821.10387218086
18562,256550.30137121896
15521,137127.06512176176
16467,128306.48702885958
20521,94397.46444878765
1688,223834.14443750362
10158,247522.14715876288
10733,315476.5792613546
17905,263806.75442008965
15232,420265.8843107823
17162,436482.83871918544
8652,302835.1242045739
11106,202778.15084361692
3209,67807.76672822227
3197,68705.77249574396
7117,223066.08991966583
18282,414781.41710990405
20018,90539.86839084672
1615,340209.5035156418
12113,138563.31932629988
6033,137931.5768494882
16103,271620.00305721385
14851,118902.27035477405
14329,191925.41873151922
1956,123360.25295195432
6557,360899.00164425734
10349,271102.0215830343
1050,122212.10626298223
1017,229881.9573920164
13346,92172.26562740438
13545,124401.17006046022
172,151279.28928474602
12967,114413.04603197826
16004,202306.36532939464
15779,204296.2370056861
16361,93903.32434486304
9140,185098.9367440787
4556,174548.7815256857
18014,251115.0581258189
12883,115582.98364073614
6155,160709.56997334512
1678,108142.26792340724
640,191538.05289124037
2007,53935.08279312739
9116,193554.23452215816
9624,60870.97311135294
10290,270124.6961643309
10547,300079.5199699698
8422,185177.2140342475
13889,56912.87727200763
3977,283661.7564955104
457,257622.78484104935
2129,74623.35429724578
15208,209024.23733199213
2966,118293.46340754289
1020,185790.66228403072
20095,153277.78832266765
5437,273512.0115520926
13641,82033.46137622172
4982,131438.82478959774
9641,87896.79275968966
7434,159461.78200492018
11296,194299.7281042211
13016,151974.12424879655
17292,373507.0024031125
20461,264495.90598320094
4031,222070.18912924657
9918,170586.3016071321
18615,234490.05279767886
4437,162277.66388678428
8413,158523.194331084
13035,170688.18505498325
6626,173526.43826862142
16702,179553.28523634907
15203,259341.6595277966
1425,152361.9006224472
9065,138951.64135351806
9616,62028.80619037932
18154,269661.6849141831
6853,209908.3183001771
8720,281615.54177456227
4851,162569.43639392476
20524,141364.74854332453
4347,377945.66395131807
8984,267055.54238149716
3687,180064.02669880324
12725,159665.02666652275
11708,219741.97209692243
16884,300467.00265705714
3289,99682.4343273089
8625,287946.86526202783
3396,206846.85951340108
11246,226369.31736957823
6480,180436.53938456773
9151,241182.10080130218
16283,84316.73821664468
13025,118304.61216486219
6635,301603.40827521123
6599,151809.04966551534
17520,205606.24571049205
19740,107671.58257102178
17815,275162.89545804565
11408,236056.79840621934
10752,331156.53137658664
14873,149761.76686978084
454,242638.83214422094
2984,89759.78113836705
12104,90025.05417409482
16042,215049.89457878767
8433,222090.06240709932
20248,273276.6341421693
1220,125204.86545291686
14850,117964.46926686254
8488,176709.0842474073
10022,92569.21053939668
2430,51811.585664342296
20618,107837.80053419604
10587,211027.14372217332
12105,102632.96120530422
5553,213481.92196669808
14013,247454.39643520358
7419,152629.80590092868
9695,142023.1988999164
19014,242770.37654163587
15432,150257.39411782724
8410,136948.74399724536
6949,164039.12142108995
38,145726.35609487904
17526,236969.5822721018
10209,235217.5970705419
20334,287180.79532518063
2925,62381.91894400056
7495,128808.82343987025
7834,164663.73855893538
2253,109697.88624633865
3760,213538.9173801442
9394,341191.9953276403
1739,175851.7415176552
8221,170149.12681927264
9335,253123.15646106174
7611,123998.05516853144
19101,204574.12968269133
16281,79396.10171554006
11037,239892.31680347107
1285,102237.1562917787
12693,197086.31315788807
17011,283450.2316245422
14496,185295.3707509093
13854,94463.91638988053
390,207912.11181122536
17669,193843.50758050045
18035,290608.0139030657
10297,247778.25776098156
12716,221150.66804148752
16726,215833.77112817953
3132,128423.29460969738
8749,307412.30820261507
18796,62962.62666552368
12135,147818.50863970368
4922,122882.71498436152
18392,289361.0431513059
3352,93594.14062849103
18944,144241.0591539924
12126,122116.11878865406
16359,100676.88135117659
2553,90780.20661493743
12478,113939.19507792775
2756,63772.82783904301
18306,379806.2852156192
18385,350199.8216382486
5850,190796.91284914644
12854,89669.96786301269
7076,265274.11395106104
8861,288370.50182887673
3557,355084.30025728047
4897,141773.92553692905
20038,61547.85821101489
887,205610.87938522449
19813,109659.52296342616
17907,255850.5990158856
6368,261551.58102260873
9162,215781.84355249754
5080,162561.89961569296
17053,306570.9731000281
13226,148257.4062548705
18603,305933.42703425424
1757,193018.99361930115
4027,292315.44393718545
11570,203632.10866648506
17693,261070.7905103569
806,186231.65263135778
10739,331100.80393263965
13427,114523.6633485833
3408,225029.1775301453
9284,273899.36398250016
9191,220652.12227758078
16320,130049.4816624129
8716,301164.1397320074
5288,333888.4090129569
3135,108388.7373758174
12579,82209.47697187052
6737,422353.0529882428
12077,148072.03553159698
82,122127.81108520823
5828,263024.13819625415
11005,211068.30176894765
1723,71344.1358685818
12023,153567.87386875195
7288,147560.38897027762
16091,280790.01726263424
1714,193065.606526651
319,82434.97540658154
6097,172548.48344013232
14922,151113.81889614026
11586,212042.61513328514
11042,396881.4071511474
13132,89260.57353543816
486,213961.2843730244
18086,364625.8392305995
9380,231619.5429742451
173,160016.25766713376
991,262902.3439689078
3262,129471.38033463398
15856,294424.1719502625
12617,215761.58877637098
9158,196887.5259547687
1279,146275.5736020982
13957,110290.88514580738
13589,71228.46635196346
8831,278945.5040349121
6870,174398.19412898275
16612,237626.760949828
18941,175811.2843917166
5294,392349.18308677565
14402,243172.24100939295
13937,160480.40074663417
15534,161032.33916183986
17893,200582.90348563553
6641,155704.92219163897
10242,203313.78150051628
18311,324707.1286204711
525,187168.6975664092
13332,126301.29332790732
17195,318818.8190119995
15887,146145.61767029064
10018,174481.82190761308
13244,277150.4115747005
5858,203780.0272488327
17010,261753.10229828133
5595,220531.00404869093
1415,240577.5458230394
13456,138570.2936266281
18950,134721.8921925357
17954,284386.9971475099
10975,228755.4517447797
397,216833.5048507121
19977,127657.74293010696
2420,56787.17624774859
2779,67004.94066959417
14698,175466.25788195274
4993,151620.57926073522
7357,158638.18688964838
6357,140458.09526222225
15706,270220.3957441807
913,277451.38205188117
11530,177236.03419888832
15871,233870.2965888485
17331,222444.32581015426
9617,86062.65724978343
7810,181878.33769521874
12011,141452.19363381003
12467,158389.98862120675
4143,204414.63324372965
7726,185053.66839623993
4957,141588.86358976547
13321,111473.84353318569
3316,131214.89119080087
11518,381168.9417326845
8553,190221.51239558734
18507,268512.5125890018
4317,220007.2340556907
7903,282406.0291131382
2601,66911.49185543705
6932,151863.74719386577
14480,339787.5697590938
19556,120234.44556433533
18025,254369.15399375715
3137,94582.21193175277
