id,median_house_value
14769,151918.9791015625
16487,162979.8904296875
2879,51595.52158203125
19071,255829.76796875
12053,107280.05859375
17077,179424.0703125
10624,190601.573046875
10320,345731.28125
5406,322464.440234375
10840,346133.390625
20172,235478.5375
12112,95498.9923828125
9762,239786.4953125
13614,91960.4171875
8503,202494.050390625
3237,51539.340234375
2088,42040.53955078125
7275,120987.533984375
3845,170609.1171875
9369,312394.203125
20259,189112.796875
3882,223264.891015625
3404,255041.30078125
2479,55338.1654296875
7299,146889.8328125
18648,247279.911328125
14187,111095.4396484375
5636,160734.385546875
8965,284661.04140625
11729,75872.45703125
12310,133169.2734375
10336,396919.609375
11858,82741.20048828125
20408,341436.34375
17586,248256.58515625
11375,227135.438671875
18949,185409.4921875
15851,323760.703125
9448,117439.1716796875
3947,198684.731640625
17812,209484.346484375
14312,120432.8568359375
16656,233431.90390625
16971,310316.203125
12795,83017.7931640625
2067,66446.95966796875
13936,93288.15625
14572,236520.7984375
18679,280303.880078125
14243,134494.5625
1056,119165.7865234375
11674,235163.828125
12543,109913.496484375
13647,71627.499609375
1417,161092.4609375
14716,233607.901171875
16099,281386.921875
18104,354860.987890625
14725,161976.4765625
4042,335473.046875
371,156775.466015625
7124,178583.025390625
10453,248531.16796875
483,209853.7734375
4335,332765.88515625
19016,141442.3583984375
14651,230896.587890625
9678,124651.4375
780,176436.8203125
8194,309947.3125
19649,129720.1677734375
4432,152579.77890625
18865,143650.155078125
11266,176032.24296875
3415,173779.071875
18973,170573.7578125
11670,185499.656640625
12840,110234.5623046875
3944,257523.494921875
16152,354640.765625
181,182968.33515625
18562,278319.55703125
15521,118802.147265625
16467,123915.2775390625
20521,93331.31796875
1688,205475.15
10158,236243.40546875
10733,335729.262890625
17905,259683.653125
15232,409888.359375
17162,430557.109375
8652,324496.8125
11106,201237.229296875
3209,72358.3736328125
3197,68742.4373046875
7117,209735.28515625
18282,417934.5
20018,82722.46484375
1615,356593.421875
12113,135692.196484375
6033,138866.0048828125
16103,287664.578125
14851,107589.6240234375
14329,186446.119921875
1956,154899.4134765625
6557,335682.09375
10349,276560.60234375
1050,136463.2255859375
1017,241564.25
