id,median_house_value
14769,149545.5
16487,155771.59375
2879,53788.20703125
19071,263196.65625
12053,99616.125
17077,168505.65625
10624,188682.359375
10320,347091.09375
5406,294494.34375
10840,371007.28125
20172,221260.671875
12112,89880.1796875
9762,276725.46875
13614,93631.265625
8503,180890.625
3237,48883.43359375
2088,49622.53515625
7275,105147.09375
3845,176409.28125
9369,320314.75
20259,175493.46875
3882,218606.859375
3404,232014
2479,57314.15234375
7299,145557.71875
18648,268129.9375
14187,107727.21875
5636,146388.3125
8965,322846.125
11729,72227.5078125
12310,133587.671875
10336,402235.75
11858,79917.609375
20408,331965.125
17586,252371.734375
11375,216523.421875
18949,178616.359375
15851,301498.125
9448,133555.71875
3947,224945.140625
17812,171816.3125
14312,109300.3046875
16656,228698.078125
16971,272244.40625
12795,69510.90625
2067,63945.875
13936,96687.0546875
14572,237689.875
18679,301793.25
14243,132169.359375
1056,112121.1875
11674,231017.328125
12543,115729.4765625
13647,72111.8984375
1417,154213.5
14716,248550
16099,283340.0625
18104,327048.9375
14725,148577.140625
4042,364182.25
371,173356.46875
7124,168327.65625
10453,252839.546875
483,199948.53125
4335,329890.4375
19016,145911.71875
14651,212578.09375
9678,126639.359375
780,152882.953125
8194,254720.46875
19649,120411.921875
4432,147475.71875
18865,148595.703125
11266,177593.421875
3415,162285.734375
18973,170557.71875
11670,199977.15625
12840,98365.0703125
3944,239423.484375
16152,354977.34375
181,172539.890625
18562,258452.4375
15521,120419.3671875
16467,128288.7578125
20521,95145.9140625
1688,205907.609375
10158,227951.65625
10733,348750.21875
17905,281623.53125
15232,422104.5
17162,427254.4375
8652,352734.40625
11106,202406.421875
3209,73119.703125
3197,71428.9140625
7117,205289.40625
18282,437436.6875
20018,95903.6796875
1615,375663.03125
12113,123422.7734375
6033,132733.875
16103,303179.125
14851,115949.40625
14329,183814.78125
1956,152483.359375
6557,367225.3125
10349,271817.3125
1050,121575.5703125
1017,231011.953125
13346,94098.15625
13545,122384.9140625
172,134078.0625
12967,112372.1171875
16004,264329.84375
15779,198969.4375
16361,88721.4921875
9140,212892.40625
4556,174005.125
18014,263452.03125
12883,124093.0859375
6155,166357.6875
1678,89967.5390625
640,204421.875
2007,52685.54296875
9116,162268.140625
9624,58278.28515625
10290,282155.125
10547,309598.03125
8422,193746.625
13889,67950.859375
3977,281147.125
457,290808.34375
2129,79919.765625
15208,234675.28125
2966,78495.28125
1020,191107.640625
20095,110426.6796875
5437,299232.875
13641,89447.890625
4982,109429.15625
9641,100643.640625
7434,150311.21875
11296,185896.6875
13016,182502.546875
17292,327068.375
20461,274000.6875
4031,210153.28125
9918,203969.953125
18615,241614.796875
4437,168426.203125
8413,160425.46875
13035,188718.40625
6626,177372.1875
16702,158110.65625
