id,median_house_value
14769,144335.25
16487,157665.109375
2879,54861.7421875
19071,289270.25
12053,101164.1171875
17077,186485.125
10624,259841.078125
10320,383588
5406,313962.53125
10840,426536.78125
20172,243098.5
12112,88398.3046875
9762,281668.875
13614,107727.09375
8503,217923.546875
3237,54832.41796875
2088,49702.4375
7275,106167.890625
3845,190068.796875
9369,327907.46875
20259,172279.5625
3882,239865.75
3404,253939.0625
2479,58405.984375
7299,145486.984375
18648,266960.4375
14187,106690.6484375
5636,176750.9375
8965,329923.25
11729,71616.2421875
12310,135968.9375
10336,432042.15625
11858,78165.46875
20408,357660.8125
17586,258587.921875
11375,233165.53125
18949,197520.453125
15851,316358.59375
9448,136708.53125
3947,228020.5625
17812,174623.6875
14312,109632.71875
16656,246830.90625
16971,287774.875
12795,74396.9140625
2067,60751.2421875
13936,104219.15625
14572,242397.09375
18679,318966.28125
14243,130004.546875
1056,115204.3125
11674,235580.640625
12543,118780.4453125
13647,70670.6875
1417,151845.984375
14716,257557.15625
16099,270210.09375
18104,395078.125
14725,162950.84375
4042,399402.90625
371,176049.046875
7124,172613.328125
10453,272971.28125
483,228365.46875
4335,352277.03125
19016,137392.625
14651,239567.53125
9678,141725.34375
780,160562.734375
8194,250790.0625
19649,136090.90625
4432,144543.078125
18865,164513.5625
11266,180760.3125
3415,153444.15625
18973,204743.453125
11670,204834.1875
12840,96752.375
3944,259170.296875
16152,338319.3125
181,201387.71875
18562,267711.03125
15521,126930.4453125
16467,137019.265625
20521,97168.625
1688,244698.34375
10158,258518.359375
10733,370229.84375
17905,330541.84375
15232,424813.0625
17162,427152.3125
8652,372395.625
11106,220915.25
3209,73924.6171875
3197,74336.6171875
7117,213715.578125
18282,444515.5
20018,108364.84375
1615,383580.46875
12113,123998.609375
6033,133672.78125
16103,296911.53125
14851,116223.84375
14329,217894.953125
1956,166180.96875
6557,386335.96875
10349,283798
1050,131807.171875
1017,235673.21875
13346,94471.3515625
13545,118395.0703125
172,137964.265625
12967,127493.8828125
16004,266496.03125
15779,196514.09375
16361,84484.640625
9140,220836.90625
4556,166983.125
18014,268829.375
12883,129835.6171875
6155,175867.75
1678,96636.734375
640,202286.859375
2007,52486.0390625
9116,197677.875
9624,58998.1484375
10290,298329.65625
10547,354203.25
8422,195406.734375
13889,74274.3515625
3977,332406.40625
457,309862.1875
2129,81074.140625
15208,247175.171875
2966,83610.328125
1020,201936.203125
20095,108322.3515625
5437,298469.3125
13641,95103.234375
4982,101115.703125
9641,92859.890625
7434,147548.921875
11296,188430.96875
13016,182911.546875
17292,375228.75
20461,305258.59375
4031,208636.796875
9918,171885.828125
18615,237357.140625
4437,167449.875
8413,165205.015625
13035,259994.765625
6626,186628.09375
16702,160365.765625
15203,256590.390625
1425,147279.515625
9065,106652.609375
9616,72066.6484375
18154,285087.4375
6853,222024.890625
8720,362318.3125
4851,128969.40625
20524,131364.921875
4347,413237.40625
8984,310342.90625
3687,178081.84375
12725,203736.109375
11708,255399.484375
16884,389475.90625
3289,92276.71875
8625,344577.25
3396,208722.84375
11246,227384.0625
6480,171819.390625
9151,227871.390625
16283,80515.125
13025,121623.046875
6635,383058.8125
6599,155094.890625
17520,227144.625
19740,116160.7109375
17815,291915.09375
11408,243223.953125
10752,372110.96875
14873,132926.6875
454,327871.21875
2984,75526.390625
12104,87642.3203125
16042,242007.796875
8433,238290.828125
20248,216974.5
1220,140111.859375
14850,102931.4765625
8488,158188.265625
10022,107764.2734375
2430,59932.8984375
20618,98897.765625
10587,229167.265625
12105,206232.0625
5553,258259.53125
14013,256719.578125
7419,136871.640625
9695,113339.609375
19014,269039.03125
15432,146005.8125
8410,152585.09375
6949,167546.140625
38,120890.3125
17526,247000.875
10209,249067.765625
20334,306350
2925,54033.44921875
7495,104205.9765625
7834,153252.234375
2253,98381.40625
3760,212623.75
9394,404391.25
1739,176190.3125
8221,148610.234375
9335,265573.8125
7611,123199.2578125
19101,198300.125
16281,73717.8125
11037,242570.828125
1285,90026.0234375
12693,237785.953125
17011,313668.75
14496,178635.875
13854,114866.9453125
390,206567.875
17669,164140.796875
18035,319148.46875
10297,252541.078125
12716,277275.34375
16726,208921.359375
3132,132879.40625
8749,352271.8125
18796,63785.828125
12135,146743.953125
4922,105512.078125
18392,312085.96875
3352,105305.1015625
18944,122140.171875
12126,106799.8359375
16359,101308.8046875
2553,68279.84375
12478,108608.5703125
2756,87251.671875
18306,412118.09375
18385,409252.28125
5850,222540.953125
12854,86079.3671875
7076,285667.3125
8861,333361.09375
3557,386199.6875
4897,137837.140625
20038,56622.88671875
887,225570.296875
19813,126598.6796875
17907,277361.15625
6368,367818.53125
9162,237426.65625
5080,127176.09375
17053,340557.59375
13226,140170.875
18603,343128
1757,184355.15625
4027,346107.96875
11570,218114.515625
17693,281481.5
806,173584.546875
10739,361757.40625
13427,98257.359375
3408,237131.484375
9284,306743.03125
9191,187486.125
16320,138791.5625
8716,359092.875
5288,335120.59375
3135,94251.1640625
12579,75601.1484375
6737,445568.875
12077,133443.5625
82,95503.125
5828,293084.53125
11005,222132.953125
1723,71996.7890625
12023,144827.671875
7288,134564.359375
16091,256313.78125
1714,182706.265625
319,69720.515625
6097,163305.421875
14922,128145.6875
11586,212291.109375
11042,407226.75
13132,98499.4453125
486,230503.125
18086,426412.8125
9380,210032.875
173,201076.75
991,276789.4375
3262,159405.109375
15856,320131.8125
12617,267879.59375
9158,223436.75
1279,182278.3125
13957,107701.8515625
13589,69224.328125
8831,322525.5625
6870,164445.0625
16612,241365.234375
18941,169776.921875
5294,439505.40625
14402,251482.09375
13937,182665.625
15534,140461.953125
17893,216849.765625
6641,179999.765625
10242,185759.09375
18311,343069.21875
525,177352.078125
13332,129106.0859375
17195,335534
15887,152963.125
10018,187866.703125
13244,345827.25
5858,202378.34375
17010,275230.0625
5595,240647.25
1415,279562.5
13456,134700.203125
18950,127623.4375
17954,321184.3125
10975,200056.34375
397,206297.328125
19977,124066.2890625
2420,57074.02734375
2779,63601.2109375
14698,180027.734375
4993,127946.9609375
7357,151814.015625
6357,160988.640625
15706,326587.0625
913,283399.09375
11530,186719.109375
15871,253624.453125
17331,289929.40625
9617,85604.4296875
7810,176159.390625
12011,148346.703125
12467,164157.375
4143,243271.6875
7726,172450.40625
4957,128953.5625
13321,118719.8515625
