id,median_house_value
14769,161898.45837837836
16487,156688.8677501529
2879,53451.48650152358
19071,241008.9292492629
12053,109750.44599674665
17077,154393.71607843135
10624,204476.11630998348
10320,337276.7247339953
5406,281463.5895539033
10840,373119.3380673286
20172,242776.71242546532
12112,100857.82804882839
9762,224828.1603059443
13614,100865.65952380947
8503,197531.12149142523
3237,53278.36826868453
2088,60017.61888883603
7275,120680.84331353163
3845,180770.11580572376
9369,260461.79000000004
20259,207448.00889515752
3882,218641.86180287573
3404,250303.14507040248
2479,60019.14957595005
7299,151441.83970000845
18648,237376.50459657842
14187,129858.05810616098
5636,166081.81791068576
8965,312954.8115192238
11729,86052.59700065023
12310,126162.32425863355
10336,388716.2002101856
11858,75967.90372852446
20408,329335.1560525376
17586,233908.42725788744
11375,224915.76111011827
18949,196486.2806468593
15851,304760.09139093786
9448,116892.4910635937
3947,208995.3675685452
17812,211004.1295358824
14312,130664.6518940104
16656,220548.11617074054
16971,302202.5849719697
12795,89800.6480088953
2067,65620.00691401807
13936,119548.24608681921
14572,217808.10136485923
18679,286019.5712698413
14243,132438.42963464698
1056,114149.8229584998
11674,234291.7362218635
12543,102747.46905304298
13647,74975.44499086576
1417,172554.47647829648
14716,267457.17438311805
16099,290581.4755910639
18104,352555.3907357565
14725,161600.02146599084
4042,336613.44092891127
371,170674.64812500004
7124,185424.17479154756
10453,249737.09481318225
483,189931.4771266989
4335,299778.4701933825
19016,138312.52141852165
14651,229734.0122359814
9678,141349.7793971744
780,206534.81039215683
8194,277987.6422450902
19649,127210.05474569081
4432,156081.4960156605
18865,146391.9751010101
11266,185660.71275125453
3415,183656.32848305276
18973,192008.95196144265
11670,194520.21496390481
12840,112976.91237535242
3944,246811.9129759954
16152,345545.20203622075
181,176739.07800647992
18562,257172.54020644858
15521,137972.43316970184
16467,137582.6921753512
20521,84220.14900361205
1688,231679.52292948114
10158,240488.93509358043
10733,275220.4942438353
17905,267752.06854957296
15232,398676.57696969697
17162,408455.2333333334
8652,329732.76765654597
11106,210999.70275227324
3209,70410.2761654088
3197,69396.00804899458
7117,197473.05328861155
18282,394161.60936602985
20018,93996.05589024806
1615,365295.76333333337
12113,135504.64832328766
6033,140587.48447613535
16103,292405.8222577306
14851,117272.30680410462
14329,211200.3725062686
1956,146804.2478146828
6557,320423.7507190494
10349,290588.53663420025
1050,121290.91509646659
1017,225577.15614459288
13346,106980.30786833896
13545,137921.2712280461
172,160363.65619166123
12967,126781.52408007681
16004,250048.71000000008
15779,206850.1140700401
16361,102387.25010420191
9140,173426.5960359644
4556,185608.79892177792
18014,255880.8378639481
12883,121362.35381761895
6155,171655.53157803568
1678,124720.81753401662
640,172225.0728991396
2007,57199.4051116892
9116,179060.82567782904
9624,71397.78548595865
10290,284798.8245964087
10547,315222.42037740786
8422,181896.13259557413
13889,80053.58487059141
3977,281546.88349301403
457,253780.0319485295
2129,75574.78194483314
15208,187722.87152655443
2966,76254.06789913098
1020,184502.98984130681
20095,118214.52677296841
5437,286114.0479249113
13641,93709.98337259084
4982,136695.83547555332
9641,100671.6216817912
7434,155514.4789173264
11296,189050.87694642958
13016,172657.07551651765
17292,296644.9449096511
20461,276471.5297567503
4031,198305.55543067114
9918,188244.9688888889
18615,242278.2400355085
4437,169724.98903816933
8413,166927.36292656386
13035,204489.5489678765
6626,180523.70339135954
16702,166484.85087169346
15203,260819.02650433016
1425,167346.42536207094
9065,135754.33215077143
9616,79904.71530021739
18154,249992.73334233486
6853,231283.42667109016
8720,314584.61579985527
4851,170136.7578384648
20524,136856.10965912644
4347,348012.3059172563
8984,300406.9107660246
3687,196919.55867256646
12725,172219.82905080332
11708,168856.07593511458
16884,295137.4511403509
3289,84920.17491389428
8625,320540.03004227957
3396,224220.74333197714
11246,217804.35384416714
6480,183575.89308713714
9151,250982.9480420956
16283,89250.1676558253
13025,139292.21635152498
6635,337333.08663998
6599,166685.87705416515
17520,218498.51342477143
19740,107917.7213675938
17815,282478.5536208221
11408,255873.72848690898
10752,273209.19797559135
14873,140148.57361146616
454,233266.68418697914
2984,69155.85164767862
12104,86716.4841909709
16042,220597.4597191276
8433,219757.60918557137
20248,232530.77838106075
1220,138830.89802373378
14850,113905.26333890717
8488,163054.8906133979
10022,115127.86175663625
2430,56800.64080152882
20618,114614.6266060656
10587,213143.35265043488
12105,171173.31878431365
5553,230530.44585223787
14013,238911.80997804526
7419,146479.37585307876
9695,146373.2269281728
19014,250128.68029119025
15432,141281.6329458192
8410,169477.75247907336
6949,169657.88320245434
38,158500.64174721675
17526,234662.9845358826
10209,224903.71553464237
20334,300813.0081083987
2925,58689.95491614801
7495,120683.41994673118
7834,167068.50837903869
2253,97152.9414464921
3760,203190.11
9394,318353.1393772894
1739,169819.51060684127
8221,171204.4182729901
9335,247789.27131755964
7611,121478.99067187736
19101,208014.3802614379
16281,79996.12889594442
11037,248469.70705068525
1285,96165.81888309783
12693,180321.36517948707
17011,282552.6744889574
14496,197900.2344666109
13854,100506.44185150502
390,207003.72967969437
17669,204922.5910523038
18035,279901.4435127128
10297,259390.50729312698
12716,234827.84238095235
16726,220282.05348269406
3132,133488.4220479002
8749,329446.4957962282
18796,66838.56621800686
12135,142264.192439868
4922,133402.9569438072
18392,312524.04127079167
3352,113901.2653783647
18944,137991.55870534328
12126,122413.6251079341
16359,107547.63989026843
2553,84107.3909259259
12478,110614.63591731271
2756,86559.56789661352
18306,379527.5200000001
18385,361031.78678971727
5850,204015.0381866761
12854,101204.08269647109
7076,265587.1658645556
8861,298809.20044749434
3557,371283.9039692044
4897,145686.76701690664
20038,61535.73568069007
887,199473.21821473315
19813,112328.83465215281
17907,240846.2339245541
6368,299271.4542152134
9162,217976.03659775225
5080,164642.75179994392
17053,321050.1182768362
13226,140517.5750347047
18603,321644.0499435027
1757,169985.0491101088
4027,283483.49750787613
11570,207475.6831505532
17693,260466.40974756956
806,193690.8337634409
10739,287853.09468109714
13427,127125.23312548196
3408,229062.7331628813
9284,261915.80666666667
9191,213682.35666666666
16320,120211.39248593776
8716,320027.7439522825
5288,343779.44251083845
3135,97006.43117197554
12579,81517.07856602162
6737,408258.81790859846
12077,139743.75050764042
82,140458.94024184046
5828,271006.1837263634
11005,203754.74116383304
1723,100297.14658296305
12023,142283.27028296393
7288,148200.2501219132
16091,267559.8400355084
1714,195017.8617790811
319,108111.99973604828
6097,186814.86046718588
14922,142764.39474828335
11586,198333.8595316006
11042,409410.8014006618
13132,99556.94420026924
486,227733.93573573566
18086,379119.8101596806
9380,237898.5166666667
173,181140.5494779515
991,262802.2656606484
3262,141826.55088128577
