id,median_house_value
14769,168189.23666666663
16487,155451.84309227168
2879,53095.856123159094
19071,259707.10356123763
12053,107404.83388146077
17077,150290.50952380954
10624,218716.98913047343
10320,369391.5719617261
5406,293678.0268629878
10840,398411.5453846155
20172,252861.35602481817
12112,99756.46325555543
9762,238473.26647514766
13614,99615.65647691503
8503,218057.04957511666
3237,53652.600909432396
2088,60252.55915300613
7275,113052.1598696072
3845,185466.8494074972
9369,307540.90619047615
20259,202333.4746538663
3882,227406.65742893165
3404,281992.88501216716
2479,60897.25652230339
7299,153148.88881393324
18648,247526.76868480348
14187,127264.12016780548
5636,173405.23907345644
8965,313724.8147018709
11729,86144.75182211782
12310,126863.52051980073
10336,408925.81179487193
11858,77181.68732675581
20408,356804.69333333336
17586,236604.82281188772
11375,232184.37644326672
18949,203862.63867806076
15851,296083.65615406446
9448,126715.2126800246
3947,224796.47235491872
17812,208691.42375122226
14312,110337.23105796719
16656,220963.18955134365
16971,307911.20306122454
12795,90589.95750528181
2067,71443.77933283271
13936,126536.56463938208
14572,230377.2329405273
18679,289717.42504761904
14243,129831.01067200713
1056,117961.60964991336
11674,244325.563417074
12543,100075.52386666996
13647,77143.27701674796
1417,186983.09300724644
14716,284339.5756118881
16099,289022.81
18104,367511.0995307525
14725,166304.34481201007
4042,385855.5762560387
371,174451.76499662304
7124,193782.7435674498
10453,273309.20118327695
483,214147.85234045278
4335,306745.2339310863
19016,145323.43411241192
14651,225896.39047974074
9678,146578.96109134948
780,219530.57999999996
8194,291244.3148133848
19649,132535.4905017868
4432,157306.14958204175
18865,149293.86245135072
11266,189019.90931920096
3415,186719.49564268187
18973,199987.3501020697
11670,202622.08247595243
12840,119691.30458034035
3944,266271.365834996
16152,345103.349047619
181,187398.52935340023
18562,269970.7563157895
15521,139516.8118490614
16467,146549.67767097562
20521,85650.90414465529
1688,266074.24
10158,276458.5963540812
10733,284304.76892663096
17905,314102.51862740185
15232,396779.08999999997
17162,411346.6700000001
8652,330452.9329001495
11106,231030.26422891527
3209,67113.87125509669
3197,70917.98791021435
7117,203551.2773021756
18282,396636.92000000016
20018,107270.8710110965
1615,392633.0833333335
12113,132970.29057905963
6033,138289.1426692468
16103,296836.16
14851,120548.91712703361
14329,243349.1066666667
1956,149294.68552012596
6557,334529.75392810453
10349,300637.53825011256
1050,127128.18933113519
1017,236125.9025586656
13346,103474.9142594953
13545,139048.2174767014
172,152492.34809523815
12967,134134.369336089
16004,248690.43031446543
15779,185344.17166666672
16361,100620.73109074673
9140,196474.49842630883
4556,171578.15535071734
18014,260104.78070464017
12883,122297.02522540002
6155,173060.4962116186
1678,120838.04865113428
640,180223.74131779498
2007,55915.041106782934
9116,208865.88726211933
9624,68009.88873208381
10290,315550.0410576545
10547,351580.22082974995
8422,190001.9127546746
13889,82986.23267603295
3977,305601.71017018444
457,273099.7230630631
2129,73674.68415461041
15208,207118.28362474675
2966,79675.09994329743
1020,194776.85071590092
20095,115830.65011685788
5437,290335.78451983095
13641,100367.22399795911
4982,113882.22630653092
9641,100993.93994535698
7434,150864.22135566676
11296,189660.97010868194
13016,174694.17671538814
17292,335577.47322044807
20461,303641.92666666675
4031,209868.0237362236
9918,181488.61397182138
18615,248412.56975901287
4437,162474.45032801325
8413,166871.1361130016
13035,210889.79469093116
6626,182399.4124540378
16702,174064.3023664108
15203,284122.4556118881
1425,172983.98579399148
9065,139278.37113229927
9616,82589.48958921664
18154,276535.3014144018
6853,230381.91769129355
8720,326453.95284281217
4851,141510.14309881558
20524,140779.29943093876
4347,374753.834524219
8984,293018.3993050456
3687,205608.72274067684
12725,185725.5468219462
11708,173689.5481714754
16884,328979.46933333337
3289,86292.17951990191
8625,315394.85795769375
3396,239300.8178724484
11246,219060.01743189472
6480,179558.93224962038
9151,249688.27220205392
16283,91334.84509673725
13025,145404.26788783266
6635,356022.64546599967
6599,166841.46264974077
17520,216703.9829850415
19740,115008.6087376503
17815,291170.991750856
11408,260443.82666666663
10752,317758.08994201454
14873,142657.36638629282
454,254225.8718904307
2984,74438.60633074676
12104,83991.80609899902
16042,228663.2134782608
8433,229533.93875238296
20248,221570.63666666666
1220,144229.69346466864
14850,114972.44952249355
8488,168887.67023411652
10022,111595.94352222217
2430,56310.57340877821
20618,122490.89754962934
10587,222779.8554130442
12105,173009.7025502245
5553,236413.56022009492
14013,263542.41980706085
7419,152127.4117606576
9695,148825.35346158998
19014,271971.00475006166
15432,143082.8563959124
8410,166750.04542387163
6949,162237.43520806622
38,149733.93428157366
17526,244761.0327566391
10209,248595.93483943318
20334,310558.1924846332
2925,58216.91874739211
7495,125160.74339752004
7834,170215.52105625486
2253,91015.43634593258
3760,210539.00004008622
9394,372212.75
1739,179513.43454022988
8221,174015.3258333333
9335,269323.72047619044
7611,124115.19547557917
19101,212753.95653233936
16281,87266.57247285248
11037,262764.2752697922
1285,96713.36705419737
12693,206775.80631982748
17011,303227.86
14496,196165.65426666668
13854,107805.6855783554
390,223799.81953755804
17669,209135.99966068572
18035,317091.8368724754
10297,270890.95261974534
12716,256678.80522113186
16726,231533.92719462232
3132,145738.47463965416
8749,340810.37691223715
18796,70859.4510797139
12135,149093.66611624678
4922,107754.34135428572
18392,326960.42666666664
3352,116219.66709075877
18944,143006.14575275814
12126,122998.75339563827
16359,107401.77872321049
2553,84560.39333333336
12478,114144.47243410203
2756,87058.18708460563
18306,394764.30333333334
18385,394671.7997435897
5850,211477.3032285867
12854,100635.25985692359
7076,283222.4838237358
8861,300538.44280490506
3557,391328.3434782607
4897,132793.9864160553
20038,62221.303277684936
887,214692.53526126323
19813,120925.08362512238
17907,261175.1818475482
6368,327883.80320048303
9162,217372.93693278334
5080,159429.4445383074
17053,334979.9266666666
13226,138511.7919519649
18603,336053.6766666666
1757,194413.9651855569
4027,308937.24703008763
11570,215872.04333545972
17693,274491.81957265135
806,192959.4722651287
10739,299886.4557160094
13427,132664.52028689915
3408,235157.78639733174
9284,297712.2164705883
9191,217058.41563407375
16320,122408.91912011689
8716,323869.34774920443
5288,341996.37997470837
3135,98203.89162037215
12579,82806.18776596064
6737,407055.0584782607
12077,137884.89983323685
82,131741.5003142076
5828,295675.1149355596
11005,210230.41994012907
1723,96725.38579399142
12023,153088.5999824003
7288,149157.80324868893
16091,260893.9198095238
1714,206503.31156921547
319,99016.01687996429
6097,183842.24149098198
14922,144212.55587347233
11586,204875.23994489067
11042,413244.8341565453
13132,99952.90245551996
486,217864.07015926103
18086,383328.9245136187
9380,261761.2641666667
173,183375.57415838062
991,290727.42333333334
3262,164552.8222875764
15856,295328.9665049415
12617,261784.30228226644
9158,219934.65445705518
1279,156722.11935591203
13957,132956.26430488873
13589,72836.48595614187
8831,293143.680126812
6870,183439.31760899854
16612,256589.9037382621
18941,192204.37908963073
5294,393097.3629767787
14402,259079.9159333333
13937,170633.99835930194
15534,127710.21625235361
17893,214986.68098472554
6641,180024.3195697407
10242,186878.91729760857
18311,348209.43
525,208698.1179948964
13332,138153.17187251023
17195,336104.85777777777
15887,173752.66777777782
10018,187582.32716873224
13244,312934.83666666667
5858,220856.7086957126
17010,261761.63083055246
5595,254808.7002341165
1415,294848.2722222223
13456,150119.3812184858
18950,131902.51873839085
17954,323505.98286408593
10975,219012.6326733535
397,236690.2809376452
19977,116897.04048633772
2420,62677.25147779097
2779,62322.20767446976
14698,173293.17133005665
4993,130653.81418637032
7357,163895.03353178335
6357,156652.65961125807
15706,291629.0133640433
913,295444.5961974191
11530,132496.00009871798
15871,245418.22969696968
17331,239914.89047619049
9617,88175.31538638855
7810,185297.84111411148
12011,137015.06703968192
12467,147516.52904726836
4143,247427.47222609184
7726,180881.9047100431
4957,145117.8194222221
13321,115965.24180182947
3316,127319.83101253894
11518,399483.75444444444
8553,197432.18882807018
18507,283596.99666666664
4317,244993.09004951228
7903,316249.4842083511
2601,69782.99434911346
6932,171838.74433174386
14480,355715.33777777787
19556,140718.31061842912
18025,279964.04451361863
3137,122725.82395869744
18324,397198.9566666666
7206,140735.17713882905
11895,110462.07497003475
10455,155249.8545544788
1933,181133.6198510798
1408,182728.94693581777
18143,360327.2661538461
8737,291067.73584387265
139,366206.0666666666
12630,98792.9583389907
11038,414356.2974898788
19875,52242.411162651115
11574,199632.32383742454
17055,332412.2387878788
13605,108488.04962741135
15987,290710.9553144654
6813,198296.84989443398
8822,283126.7989023261
13072,122760.70362773711
16303,138139.9606959902
14421,210583.7480987884
14398,175873.36254588744
360,302500.43
2622,248211.1833333334
13293,148127.09446946572
14446,219768.72593333328
3680,194606.60393968504
4915,111364.90212786132
7563,153693.6280470047
463,214064.96460370556
18505,365757.77999999985
5436,319492.74843924475
12106,109963.21574653804
11421,347451.29987736925
11368,267913.310809915
18340,374343.3312121211
4548,162645.90732272415
4836,161974.36365227087
3367,112103.28854080592
14609,251562.23595419846
1780,137273.8459527216
2042,212799.80359064127
4467,173024.08787472965
8106,163647.87127132868
5047,292920.8857453945
1190,85715.72839480384
16241,124484.84374948448
2181,127569.74699594387
10286,315099.8677450618
1383,219692.63823588213
6848,213757.19706210858
19474,113092.43196497622
2552,91659.13222222222
8998,264337.8745136187
15158,240398.56769175964
12789,69108.46801568104
5450,322509.42082019703
7686,182512.36902061632
6843,169025.1655022805
15413,197083.74331732505
18726,115340.73958056222
6055,270713.48175438604
11942,120057.76784974236
10531,231935.24118684296
18895,167777.5691848512
3697,192385.56274067692
14292,203672.90895386043
4501,153904.14022982653
5031,120953.41613166378
14820,106037.7130529595
15140,172187.8735498832
13033,210455.42862927177
16088,265116.4236839352
9474,143653.17583082436
18716,76164.22668490125
19224,230264.72092258322
8606,253705.38720778155
12568,103976.90816517959
2454,78204.1232341571
3641,192278.03914038028
4590,183304.869386599
6546,164860.1988636339
19022,142931.50431778413
19512,92554.55487122081
1563,229045.09692330574
3263,97661.62873527891
13158,129940.39214023398
8764,380284.92
14061,138958.48379370032
19184,184861.64803861658
7489,150148.75193538377
8351,254193.77605614878
2239,136041.1610653764
16262,74835.8944213882
4762,250327.88463939258
8934,346193.4691230054
17999,334504.77253968257
2699,70079.99936907006
10552,379106.0784615384
194,134422.44698446756
10600,202677.18956376196
12828,137583.55339755813
16005,367132.33666666667
3406,368356.53709938424
7469,147559.8752929184
2194,98876.76201369103
2518,92659.95345921343
10418,399185.60846153845
4202,180006.2395402912
17763,197768.1185432992
17310,260143.29346913128
8631,319694.8533308282
10101,210369.19674097726
16148,337584.29088888894
19019,150922.92718132955
18256,356609.42000000004
15234,397577.86999999994
8856,343254.0764026988
11511,282743.6416666667
1426,147956.2868868876
9283,247939.15333333335
2765,68203.65887824843
11606,320200.94905610237
15277,214430.9778758643
8491,156771.09222369938
14948,210696.88181852037
289,180466.44437906376
14567,256973.7633333334
6984,224319.05322420647
16590,91878.80527935238
19709,122492.1685339743
16212,137838.57915911145
7345,147144.3946115041
9245,86845.46396105348
10747,271180.8361990288
12534,87280.93912206302
15161,188022.26393609837
884,230707.05155848243
7792,151195.6908961726
19054,125086.1731177536
10322,282168.61784695217
15121,155703.43451372694
13755,262037.52672268907
2650,83881.88075603984
9965,227185.58322867262
16653,210037.14950476194
8214,148416.02315555554
