id,median_house_value
14769,152013.333203125
16487,150507.218359375
2879,50206.2384765625
19071,227678.2546875
12053,115740
17077,170350
10624,199251.08359375
10320,327605
5406,274181.09921875
10840,355448.125
20172,242335.371875
12112,106025.711328125
9762,220446.63125
13614,93097.365625
8503,204647.75703125
3237,53748.24296875
2088,58087.3623046875
7275,124917.59140625
3845,192530
9369,305942.5
20259,188055
3882,226246.56328125
3404,279114.2578125
2479,58659.510546875
7299,148769.946875
18648,244141.66640625
14187,125844.754296875
5636,150734.58359375
8965,284009.5828125
11729,83297
12310,126894.25
10336,393684
11858,87226.1666015625
20408,326963
17586,243134.1078125
11375,214347.20546875
18949,203220
15851,277950
9448,121393.569921875
3947,185811.66640625
17812,218257.33359375
14312,119641.166796875
16656,230513.2140625
16971,304400
12795,89705.414453125
2067,66357.9896484375
13936,130717.5
14572,208612.221875
18679,288766.66640625
14243,148775
1056,110616.666796875
11674,238435.46875
12543,102009.78984375
13647,75088.42890625
1417,169372.5
14716,249995.83359375
16099,271250
18104,339061.53828125
14725,160127.5
4042,311844
371,168210.41640625
7124,177513.67578125
10453,245639.5703125
483,204085
4335,288449.5203125
19016,133745.357421875
14651,228062.17578125
9678,128771.25
780,187670
8194,299193.5
19649,117937.976171875
4432,156308.3859375
18865,134571.60703125
11266,184463.1265625
3415,186277.065625
18973,205410
11670,197804.01640625
12840,111121.843359375
3944,252603.83359375
16152,346240
181,186419.4046875
18562,282577.0828125
15521,128744.73203125
16467,129541.859765625
20521,92524.4640625
1688,215582.221875
10158,232474.3890625
10733,295073.52578125
17905,265028.571875
15232,412105
17162,406555
8652,308510
11106,216728.31796875
3209,72921.309765625
3197,71122.335546875
7117,211071.2578125
18282,386392.5
20018,89867.375
1615,369330
12113,156124.64296875
6033,139212.916015625
16103,266277.5
14851,118604.349609375
14329,208468.33359375
1956,160010.092578125
6557,324190
10349,289781.5484375
1050,144731.404296875
1017,228555
13346,109395
13545,102100
172,148877.222265625
12967,117755.001171875
16004,231426.66640625
15779,192615
16361,99623.125390625
9140,175415.5
4556,199581.66640625
18014,262258.84296875
12883,118222.39140625
6155,175522.84296875
1678,111178.487890625
640,182588.33359375
2007,52615.478515625
9116,212757.5
9624,68431.46640625
10290,275566.9484375
10547,325800
8422,186808.3328125
13889,83509.285546875
3977,285324.2765625
457,251257.5
2129,80878.6943359375
15208,199482.85703125
2966,90271.773828125
1020,167691.666796875
20095,112951.5
5437,285022.7078125
13641,77520
4982,139356.140625
9641,103640.295703125
7434,158575.28359375
11296,191097.940625
13016,170651.666796875
17292,343453.04453125
20461,283422.5
4031,199519.16640625
9918,175664.10703125
18615,247344.47265625
4437,157048.75
8413,182703.69609375
13035,187800
6626,174277.4109375
16702,171973.05
15203,247682.5
1425,147496.0203125
9065,129555
9616,81995
18154,279139.690625
6853,204833.5515625
8720,292644.88046875
4851,163716.734375
20524,135894.745703125
4347,382238.846875
8984,300654.1671875
3687,206600.0171875
12725,154975.4546875
11708,171735
16884,308708.8890625
3289,80357.3802734375
8625,309337.2765625
3396,230371.8296875
11246,215187.7828125
6480,189638.47734375
9151,249348.83359375
16283,87907.716796875
13025,120586.666796875
6635,358285
6599,175706.333203125
17520,201494.44375
19740,103370
17815,272180.60390625
11408,219999.08359375
10752,279632.5
14873,146321.66640625
454,222405
2984,67087.445703125
12104,80144.45
16042,225475
8433,226535
20248,252873.25
1220,137552.674609375
14850,112815.066796875
8488,167502.6921875
10022,100157.5
2430,54139.355078125
20618,111133.934375
10587,208726.40390625
12105,170070
5553,224260.625
14013,240987.08359375
7419,157659.31796875
9695,151072.5
19014,261980
15432,137635.04140625
8410,154912.14296875
6949,163228.26953125
38,125457.222265625
17526,218613.471875
10209,229644.78046875
20334,261575
2925,58071.1232421875
7495,126684.791796875
7834,163562.13203125
2253,94491.89375
3760,243022.66640625
9394,350732.5
1739,162209.375
8221,190273.333203125
9335,251873.2359375
7611,125069.06015625
19101,211542.5
16281,84138.9623046875
11037,249473.3296875
1285,119888.25
12693,167058.78828125
17011,299965
14496,197545.920703125
13854,105276.16640625
390,211225
17669,209152.9171875
18035,276399.375
10297,248409.165625
12716,209323.33359375
16726,198897.91640625
3132,135097.5
8749,340940.8328125
18796,62989.5521484375
12135,144413.341796875
4922,131814.228125
18392,301085.3578125
3352,111846.48046875
18944,143701.011328125
12126,127540.618359375
16359,122637.0953125
2553,82885
12478,130503.75
2756,75785
18306,392130
18385,344201.1671875
5850,203887.91640625
12854,97122.00234375
7076,269548.275
8861,316377.18671875
3557,354375
4897,160072.294921875
20038,61333.47265625
887,191643.3328125
19813,104463.166796875
17907,267131.1078125
6368,312810
9162,201201.1109375
5080,175748.720703125
17053,316319.090625
13226,134167.720703125
18603,310340
1757,176278.6109375
4027,307708.83359375
11570,203158.0859375
17693,274385.4359375
806,188584.01484375
10739,282282.5
13427,133324.25
3408,232030.1671875
9284,260191.66640625
9191,232055
16320,121746.131640625
8716,297100.746875
5288,355898.75
3135,104681.1109375
12579,75157.6400390625
6737,400700
12077,138637.495703125
82,140162.222265625
5828,265010.83359375
11005,210454.27421875
1723,86089.201953125
12023,163187.500390625
7288,157474.06796875
16091,265039.6953125
1714,203956.25
319,96633.75
6097,203349.88046875
14922,149375
11586,206957.83515625
11042,416350
13132,106557.825390625
486,198490
18086,381525.834375
9380,233550
173,160804
991,268075
3262,119230
15856,287701.25
12617,235065
9158,194836.965625
1279,118807.2390625
13957,114690
13589,69594.0578125
8831,260988.54140625
6870,191034.7953125
16612,237957.159375
18941,178392.778125
5294,371830
14402,267583.6953125
13937,151998.75
15534,131357.10234375
17893,192094.26015625
6641,166621.25
10242,195553.30625
18311,356048.571875
525,209985
13332,142481.325
17195,315646.6671875
15887,162807.5
10018,184640
13244,288985
5858,204745.49921875
17010,274605
5595,210902.66640625
1415,262445
13456,135197.91640625
18950,125547.45
17954,300615.28828125
10975,196526.66640625
397,210438.333203125
19977,127575
2420,61519.9240234375
2779,57091.6666015625
14698,166970
4993,137937.0484375
7357,163867.4015625
6357,155820
15706,252490
913,277160
11530,158701.414453125
15871,247040
17331,216875
9617,88797.295703125
7810,174547.91328125
12011,128718.416796875
12467,148208.33359375
4143,195766.66640625
7726,154024.3328125
4957,159759.71171875
13321,122580
3316,124653.92890625
11518,381913.9578125
8553,172411.16640625
18507,266977.5
4317,265306.66640625
7903,297548.125
2601,73982
6932,164366.11953125
14480,319390
19556,132795.705078125
18025,264604.40546875
3137,99615
18324,378225
7206,136463.11640625
11895,116432.33046875
10455,175800
1933,146543
1408,170497.5
18143,353832.5
8737,285967.5
139,327480
12630,101709.012109375
11038,417900
19875,51125.752734375
11574,197659.4015625
17055,317215
13605,105246.88203125
15987,241134
6813,197281.76953125
8822,275399.53515625
13072,122489.87421875
16303,129358.489453125
14421,222315.625
14398,155605.084375
360,284207.1421875
2622,182965
13293,172305
14446,202592.787109375
3680,204006.5578125
4915,139516.648046875
7563,163959.1625
463,193878.33359375
18505,331750
5436,296529.06953125
12106,127818.75
11421,322722.2921875
11368,254689.53359375
18340,336400
4548,176774.7140625
4836,175250.47578125
3367,111147.083203125
14609,221930
1780,148676.0203125
2042,178787.5
4467,190967.5625
8106,158420.283203125
5047,292796.25
1190,84889.2857421875
16241,120716.021484375
2181,106286.75
10286,319824.1671875
1383,216625
6848,215485.41640625
19474,117214.166796875
2552,92779
8998,269843.75
15158,219694.16640625
12789,80963.6931640625
5450,314340
7686,167872.3671875
6843,179082.5
15413,202865
18726,103935
6055,247373.86015625
11942,116863.32265625
10531,224892.55625
18895,146885.41640625
3697,192513.37890625
14292,213987.5
4501,149684.5296875
5031,127608.273828125
14820,113915.416796875
15140,181755
13033,195425
16088,276395
9474,140109.16640625
18716,72449.583203125
19224,239313.4375
8606,258462.55625
12568,97913.878515625
2454,70241.146484375
3641,201409.165625
4590,209713.75
6546,176334.16640625
19022,139927.643359375
19512,94069.767578125
1563,211567.54296875
3263,94295
13158,140200
8764,346890
14061,145070
19184,159095
7489,165650.77578125
8351,243457.17578125
2239,115138.75
16262,71472.78828125
4762,276154.16640625
8934,353687.8203125
17999,313693.41328125
2699,68886.4580078125
10552,336485.625
194,133591.7859375
10600,211870.05625
12828,153446.6078125
16005,351805
3406,302841.5
7469,159794.909375
2194,117058.2640625
2518,91290.769140625
10418,415090
4202,198390.2109375
17763,202337.6453125
17310,236572.34921875
8631,295708.8546875
10101,199638.0125
16148,317195
19019,147810.9765625
18256,341905
15234,404170
8856,343538.096875
11511,285618.5
1426,143831.0203125
9283,213703.33359375
2765,66461.6666015625
11606,302876.66640625
15277,198125.5421875
8491,160628.75
14948,224315
289,183431.66640625
14567,229190
6984,225647
16590,95493.9625
19709,128362.001953125
16212,130867.375
7345,152843.021875
9245,81257.987890625
10747,273743.05546875
12534,81156.96640625
15161,185797
884,215222.7578125
7792,155898.2171875
19054,114867.79765625
10322,265857.79375
15121,178143.0359375
13755,243450.5
2650,85795
9965,212635
16653,202775
8214,126868.708203125
2605,88615
681,212034.703125
7504,102843.727734375
12094,138725.1109375
2683,68910.6248046875
11267,181770.896875
9573,103414.583203125
18368,330568.46171875
8727,256158.6109375
3529,237116.83359375
2566,92146.5
6574,217079.59140625
17301,216014.19609375
8420,173879.5828125
6970,177259.88046875
1602,161051.666796875
5975,157625.1921875
11199,144944.652734375
9961,211740
7531,147105.653125
3503,158139.34609375
11150,180242.19296875
16567,217725
5540,318730
10678,303330.175
8694,293068.3328125
14718,325060
19898,58582.2763671875
6179,192526.0640625
1670,149096.0203125
2784,92148.285546875
4305,199305.8328125
2101,59387.898046875
16534,127264.331640625
11526,197011.6140625
15360,164584
2015,58252.7625
11792,196576.60703125
10478,169343.33359375
10493,279551.09296875
18006,269549.79453125
5919,186031.66640625
11137,201338.6515625
8175,240241.2125
501,127027.5
20586,127638.620703125
15707,251610
14779,158107.5
9863,171202.5
3465,209861.07109375
1851,121780
7376,149069.90546875
16926,240423.92890625
10903,189353.33359375
