id,median_house_value
14769,146580
16487,142409.242578125
2879,51742.7853515625
19071,240419.16640625
12053,105115
17077,126908.630859375
10624,229728.5
10320,398110
5406,360812.9171875
10840,406575
20172,238673.6296875
12112,103814.92421875
9762,237302.003125
13614,91172.16640625
8503,244170
3237,50197.191015625
2088,54289.6138671875
7275,112313.780078125
3845,152133.958203125
9369,340964.5453125
20259,220439.16640625
3882,223283.43828125
3404,241682.5
2479,56773.333203125
7299,156018.00859375
18648,227821.56875
14187,147970
5636,148836.666796875
8965,301755
11729,101282.394921875
12310,136920
10336,437290
11858,77246.70625
20408,356410.2265625
17586,240285.08515625
11375,244707.73828125
18949,205350
15851,310527.5
9448,110380.1390625
3947,229597.66640625
17812,191919.79140625
14312,132597.14296875
16656,222262.04140625
16971,362055
12795,93236.7052734375
2067,64942.788671875
13936,125630
14572,274455
18679,272929.64296875
14243,122374
1056,115178.333203125
11674,243517.66640625
12543,97369.16640625
13647,76007.051171875
1417,180810
14716,288620
16099,306537.5
18104,394260
14725,164023
4042,389760
371,152177.632421875
7124,201383.38203125
10453,273979.35703125
483,224684.1671875
4335,345008.75
19016,146191.7953125
14651,225434.16640625
9678,159000
780,219005
8194,281271.25
19649,135427.4890625
4432,164766.21015625
18865,122520
11266,192940.7859375
3415,178052.08359375
18973,209920
11670,193523.7234375
12840,122642.084765625
3944,268549.58359375
16152,318461.25
181,195139.58359375
18562,283267.9265625
15521,163418.33359375
16467,156896.6671875
20521,84354.9119140625
1688,299335
10158,277531.56953125
10733,277511.8546875
17905,312975
15232,409315
17162,417900
8652,358040
11106,226631.42890625
3209,63616.0458984375
3197,63187.610546875
7117,187888.171875
18282,406765
20018,91527.05546875
1615,392815
12113,124580.333203125
6033,131679.01171875
16103,291546.25
14851,121662.854296875
14329,200400
1956,163696.666796875
6557,353137.5
10349,287555
1050,156684.847265625
1017,239570
13346,103327.5
13545,106512.5
172,165723.035546875
12967,119703.580859375
16004,302195
15779,231830
16361,84065.41640625
9140,218620
4556,165638
18014,286755.1546875
12883,119750.245703125
6155,182097.0921875
1678,124453.40234375
640,179637.334375
2007,53740.1658203125
9116,178017.5
9624,72703.559765625
10290,317780
10547,356870
8422,173036.94453125
13889,81362.5
3977,285892.465625
457,278125
2129,75867.1466796875
15208,205220
2966,70995.2869140625
1020,208650
20095,103235
5437,294645
13641,91952
4982,108395.012109375
9641,90701.875
7434,154045.72109375
11296,178048.66484375
13016,154252.778125
17292,362060
20461,304140
4031,191854.16640625
9918,168880
18615,236904.26015625
4437,165624.625
8413,165782.6109375
13035,278350
6626,199626.875
16702,182059.65
15203,284302.5
1425,192290
9065,130625
9616,87595
18154,268817.4703125
6853,207637.61015625
8720,352955
4851,129465.737890625
20524,131192.86015625
4347,392860
8984,325849.26875
3687,193511.66640625
12725,184356
11708,144550
16884,350400
3289,101401.3947265625
8625,355960
3396,238544.0421875
11246,216015.00078125
6480,174554.58515625
9151,203587.5
16283,80325.333203125
13025,132206.0921875
6635,381590
6599,158045
17520,214750
19740,129903.333203125
17815,297703.28203125
11408,243288
10752,347295
14873,147560
454,272319.2859375
2984,69310.69140625
12104,82121.633203125
16042,232375
8433,243850
20248,238180.275
1220,149057.3015625
14850,111676.053125
8488,175972.5
10022,107980
2430,54654.5974609375
20618,128331.696484375
10587,210340.83359375
12105,144205
5553,190305
14013,300050
7419,147707.77734375
9695,153930.709375
19014,256170
15432,147275.83359375
8410,176072.5
6949,172139.9171875
38,117981.800390625
17526,235591.5453125
10209,235085
20334,325712
2925,57469.2220703125
7495,126192.92421875
7834,168515.21171875
2253,88528.75
3760,232932.5
9394,373405
1739,190134.5453125
8221,166272.40390625
9335,289225
7611,122002.96328125
19101,204765
16281,80205.678125
11037,258266.1109375
1285,91313.71796875
12693,196675
17011,293160
14496,217854.523828125
13854,122602.5
390,241639.74296875
