id,median_house_value
14769,159831.28391342226
16487,118891.36255393358
2879,57132.623652066075
19071,257413.38615661915
12053,116760.96292742017
17077,107126.05821456942
10624,208046.71629967957
10320,365094.30034036597
5406,237276.87364271516
10840,392313.65561104816
20172,231202.32287185767
12112,104198.01543375569
9762,285822.21602959034
13614,89108.08377014207
8503,237722.6529875179
3237,46116.04331965544
2088,53339.568077662
7275,121857.9329958073
3845,155239.72123403597
9369,292985.7247217078
20259,148054.28721712006
3882,232067.7533761076
3404,267541.09406863345
2479,48870.16899139882
7299,156113.62754577893
18648,227631.36694063133
14187,110500.34338764663
5636,134021.94296507328
8965,240200.56095809393
11729,81566.00250174585
12310,136985.5399619983
10336,390632.4142763874
11858,78258.95559765658
20408,324422.42064235
17586,223842.03659488366
11375,208818.8729394595
18949,175613.42579567598
15851,188932.70697456627
9448,115267.16034391797
3947,208997.761411253
17812,203949.0560609744
14312,86682.1185790609
16656,257205.94654810627
16971,245191.47904717384
12795,63616.637547137856
2067,69267.65924185004
13936,120362.7326408643
14572,223510.55224239337
18679,272759.70590140217
14243,137178.3980710692
1056,111079.81879672858
11674,228425.19012411695
12543,121579.70539725281
13647,73550.88918249992
1417,157111.0400111653
14716,229514.445913776
16099,247223.6766584798
18104,325489.44898824446
14725,137358.08082616606
4042,372672.19768195285
371,144122.66832734938
7124,157048.93056734168
10453,227031.5414818838
483,142704.17333626992
4335,254477.86008535782
19016,138012.1045483026
14651,189733.87164592955
9678,90887.95744644444
780,143338.59488240315
8194,260559.6246592465
19649,111493.57697707559
4432,134203.0230206796
18865,133724.1517259237
11266,175520.7005808904
3415,174135.1206872833
18973,159627.94940885584
11670,192980.3661756684
12840,101901.90576193335
3944,233441.67997377116
16152,285323.9948304428
181,224697.62580560934
18562,236380.66105115646
15521,133268.72754195705
16467,133069.63788255322
20521,89952.16519992138
1688,232237.74977812957
10158,240191.6819597445
10733,320053.0768204907
17905,256579.207551627
15232,452343.9862795342
17162,473559.4896461081
8652,295745.7966781793
11106,184016.47330468395
3209,68229.0674369413
3197,69396.58497948559
7117,226144.4400911578
18282,442809.66892227135
20018,88950.9541765771
1615,337879.49262659793
12113,128808.97541552794
6033,125864.74715604127
16103,255408.11844445422
14851,109821.69468053266
14329,149577.87149869488
1956,110925.36928683925
6557,462093.34708114224
10349,263289.7519738743
1050,129333.61772358717
1017,213950.5195093841
13346,96415.048419442
13545,116697.76455744494
172,159394.10837833065
12967,123532.01297088426
16004,130447.10285605484
15779,230393.52318571633
16361,83556.28537446033
9140,173303.17694094265
4556,179973.08018287952
18014,234469.43961193392
12883,104551.49513242953
6155,173066.650153429
1678,82783.83480079356
640,195345.02954462776
2007,58941.946290977576
9116,161548.98094061666
9624,57466.29369036664
10290,262101.186328505
10547,304870.2104716246
8422,203446.14128985823
13889,67423.98386255924
3977,298373.7817098168
457,245735.83912579442
2129,74862.94278021043
15208,198052.51380589436
2966,135492.88787065702
1020,182936.44017609986
20095,154320.0737902365
5437,246041.25235576218
13641,76296.70386081646
4982,126361.79061414993
9641,78623.85955583595
7434,153527.00745805178
11296,192861.3402890467
13016,175229.22288621473
17292,431820.58337105915
20461,283166.8594774783
4031,213505.6895918011
9918,128111.73004228153
18615,238700.4236335262
4437,161829.70114065905
8413,142893.34358721788
13035,216599.415714098
6626,171822.42296937914
16702,174276.0948449079
15203,256277.5856799762
1425,164537.32684812002
9065,116728.56398122995
9616,61055.857423213296
18154,246804.130425136
6853,191582.04717658003
8720,264330.3035650639
4851,137414.05348401412
20524,137350.8285137138
4347,381225.0604294244
8984,217185.39655542566
3687,161018.09008724702
12725,152290.4208536942
11708,172830.64388575434
16884,295849.3764238806
3289,101471.82749388646
8625,256548.64246754837
3396,189052.62326048678
11246,235501.17603684036
6480,156653.27582835782
9151,219320.16466309663
16283,78253.28927489517
13025,106503.06492968272
6635,290677.22193313343
6599,130481.05710581568
17520,212971.81444136117
19740,113207.36902796036
17815,272119.4122720024
11408,244445.06994255478
10752,398683.0594695437
14873,128087.40799157969
454,232087.05901126334
2984,87953.43468870038
12104,90613.32570684758
16042,187856.9951903834
8433,243068.47237733236
20248,325036.16969512054
1220,124848.67472595698
14850,116579.25228297494
8488,192819.37920532058
10022,119170.08057531796
2430,45973.09489998789
20618,104855.79646090326
10587,208478.41161894804
12105,147352.6884840135
5553,210494.53931697473
14013,225709.23451054865
7419,140929.28123525233
9695,152092.53623922495
19014,241974.15759927224
15432,149886.42961328267
8410,124901.2441710046
6949,173123.81127765006
38,142870.68536935886
17526,216011.06810277345
10209,240048.12581490193
20334,300002.51720507024
2925,57516.435380462615
7495,131096.9430938586
7834,165098.3379460893
2253,107628.69076398695
3760,195347.26382428894
9394,354945.34414457466
1739,169948.41091025414
8221,136520.75590886472
9335,269897.4306780105
7611,124815.03244181714
19101,202463.1319187463
16281,73555.01553058255
11037,233477.89102496303
1285,86055.7739930928
12693,201570.46041584117
17011,254464.1434641043
14496,171070.95986802553
13854,103537.69610651265
390,202104.55070399542
17669,181477.14090984353
18035,299065.4439166714
10297,245133.5943034358
12716,209018.68704977096
16726,213580.60899873477
3132,104014.08586361313
8749,275122.0807107432
18796,57174.841638999875
12135,149982.96641054834
4922,118661.21226272147
18392,281551.7823824727
3352,97042.59097447994
18944,149371.93364951087
12126,111631.63824878952
16359,96228.71996556461
2553,64245.82875308927
12478,108365.49007280939
2756,75927.48727836396
18306,382189.9938006251
18385,359661.99284706556
5850,184767.9515311135
12854,83387.6135842412
7076,247902.60469239307
8861,280592.98718524596
3557,364198.0127105777
4897,128568.77667743235
20038,51985.56520923629
887,196475.95917812275
19813,97967.05245664917
17907,223028.09800106322
6368,253171.09793267798
9162,220844.28836711808
5080,153323.09207472112
17053,289356.8693870268
13226,149239.0676187638
18603,302708.20246572915
1757,208705.98288171762
4027,284523.8009666209
11570,185436.22139542626
17693,245545.91682180154
806,152842.98724332533
10739,385660.63693430356
13427,125068.78273309491
3408,200817.35865429934
9284,243221.55553091154
9191,173425.19993296085
16320,137610.83273820617
8716,293758.13651486905
5288,319373.43120999896
3135,103548.34764083693
12579,79853.41496575502
6737,398810.7020394733
12077,147192.18055062473
82,90952.4967868006
5828,262014.07379723544
11005,204528.36632510208
1723,60638.2079287713
12023,132504.86607273627
7288,149393.98632989035
16091,276499.5405656637
1714,191521.7330955431
319,64526.04204676066
6097,155801.2669499959
14922,143561.65168776485
11586,217095.11871954825
11042,397351.6546804221
13132,80744.26496191385
486,202763.36691603254
18086,362920.26396034146
