id,median_house_value
14769,151824.625
16487,175452.5625
2879,52984.8046875
19071,283981.28125
12053,98820.1171875
17077,188498.140625
10624,181952.0625
10320,363857.5625
5406,370747.78125
10840,336818.65625
20172,228621.703125
12112,84972.2734375
9762,259126.359375
13614,90823.46875
8503,200340.34375
3237,49330.4375
2088,25993.716796875
7275,117057.4765625
3845,148688.234375
9369,318845.90625
20259,190170.59375
3882,220283.21875
3404,230968.34375
2479,52016.8203125
7299,145009.71875
18648,250418.15625
14187,96346.125
5636,170734.1875
8965,285312.5
11729,68447.9140625
12310,139444.296875
10336,400155.21875
11858,78256.234375
20408,355909.6875
17586,253379.0625
11375,239923.671875
18949,167598.984375
15851,369571.40625
9448,113484.7734375
3947,211557.796875
17812,200711.359375
14312,121224.546875
16656,236350.59375
16971,316232.40625
12795,76330.171875
2067,66535.9296875
13936,55858.8125
14572,264429.375
18679,271841.09375
14243,120214.125
1056,127714.90625
11674,231892.1875
12543,117817.203125
13647,68166.5703125
1417,152812.421875
14716,217219.96875
16099,291523.84375
18104,370660.4375
14725,163825.453125
4042,359102.09375
371,145340.515625
7124,179652.375
10453,251422.765625
483,215622.546875
4335,377082.25
19016,149139.359375
14651,233731
9678,120531.625
780,165203.640625
8194,320701.125
19649,141502.359375
4432,148851.171875
18865,152728.703125
11266,167601.359375
3415,161281.078125
18973,135737.515625
11670,173195.296875
12840,109347.28125
3944,262443.15625
16152,363041.53125
181,179517.265625
18562,274062.03125
15521,108859.5625
16467,118288.6953125
20521,94138.171875
1688,195368.078125
10158,240012.421875
10733,376385
17905,254338.734375
15232,407671.71875
17162,454559.21875
8652,340483.625
11106,185746.140625
3209,71795.4375
3197,66362.5390625
7117,208399.3125
18282,449476.5
20018,75577.5546875
1615,343856.84375
12113,115259.75
6033,138519.09375
16103,309051.65625
14851,96574.8984375
14329,164423.90625
1956,149788.734375
6557,347174.1875
10349,263339.65625
1050,128195.046875
1017,254573.5
13346,90496.65625
13545,118168.34375
172,121070.9375
12967,107903.3828125
16004,284988.1875
15779,205851.65625
16361,104987.1484375
9140,221608.421875
4556,172959.265625
18014,261512.65625
12883,93642.7109375
6155,155403.453125
1678,111697.2734375
640,167312.015625
2007,45797.6484375
