id,median_house_value
14769,159100
16487,139468.22630208332
2879,55040.58248697917
19071,242160.80078125
12053,118781.64817708333
17077,140369.19635416666
10624,227746.125
10320,404031.81666666665
5406,227467.46692708333
10840,467433.81666666665
20172,246252.93984375
12112,89974.12994791666
9762,251942.13411458334
13614,95877.5
8503,230277.55234375
3237,56807.61803385417
2088,51802.13079427083
7275,134042.41770833332
3845,198581.69791666666
9369,256037.95364583333
20259,190312.04557291666
3882,236634.36041666666
3404,267592.4078125
2479,59800.7494140625
7299,183515.86796875
18648,201385.73489583333
14187,121567.09544270833
5636,157335.803515625
8965,287508.653125
11729,77614.99947916667
12310,118785
10336,443203.61666666664
11858,79808.05546875
20408,362728.90572916664
17586,242571.80859375
11375,215441.234375
18949,180515
15851,222788.31302083333
9448,106450.83333333333
3947,218228.21223958334
17812,221745.35338541667
14312,125430.98984375
16656,206916.60338541667
16971,255957.59401041668
12795,88927.09557291666
2067,72529.2169921875
13936,104170.74557291667
14572,202558.33333333334
18679,266369.2640625
14243,129846.94440104166
1056,112650.83333333333
11674,246403.48411458332
12543,96827.47213541667
13647,79232.38359375
1417,169649.12109375
14716,269218.6111979167
16099,268587.3333333333
18104,381821.2
14725,153439.33333333334
4042,361053.43333333335
371,172041.56145833334
7124,183345.59270833334
10453,228897.76145833332
483,152049.46432291667
4335,257687.19713541667
19016,135641.428515625
14651,172159.58333333334
9678,132957.22213541667
780,151307.27643229166
8194,269142.56953125
19649,105146.174609375
4432,167213.953515625
18865,155324.55546875
11266,191627.51067708334
3415,202073.93541666667
18973,158906.52786458333
11670,197824.75598958333
12840,93001.30169270834
3944,256206.99270833333
16152,312806.94427083334
181,150020.83333333334
18562,221596.2515625
15521,141433.44453125
16467,154889.44440104166
20521,85577.90462239583
1688,254645.03333333333
10158,316965.5989583333
10733,275942.6033854167
17905,273182.07369791664
15232,457450.4166666667
17162,493529.23333333334
8652,278210.3651041667
11106,204579.18932291667
3209,80798.41881510416
3197,73507.65924479166
7117,217023.58515625
18282,489177.5
20018,86879.05794270833
1615,409906.0333333333
12113,136903.40286458333
6033,137984.96497395833
16103,277113.6111979167
14851,123656.13372395834
14329,189647.08333333334
1956,134985.76588541668
6557,475363.95
10349,285123.35
1050,133767.88020833334
1017,241038.35
13346,108005.91666666667
13545,112964.16666666667
172,131945.0328125
12967,119620.20481770833
16004,231218.65078125
15779,206631.83333333334
16361,90514.088671875
9140,203520
4556,209585.29166666666
18014,245706.27317708332
12883,98940.3484375
6155,172580.24427083333
1678,106920.49127604166
640,188160.44453125
2007,59907.6802734375
9116,243378.38333333333
9624,82999.006640625
10290,294211.68333333335
10547,362033.4166666667
8422,218989.40963541667
13889,85229.9087890625
3977,314980.51666666666
457,234956.38880208333
2129,73570.4013671875
15208,199871.11119791667
2966,92575.00872395834
1020,193036.80546875
20095,136264.50403645833
5437,246280.02786458333
13641,86942.9671875
4982,129698.616796875
9641,89628.12473958333
7434,162202.37786458334
11296,186226.31067708333
