id,median_house_value
14769,435525.6
16487,413976.9666666667
2879,140617.56666666668
19071,478037.38333333336
12053,190233.26666666666
17077,332883.5
10624,453207.2
10320,470817.18333333335
5406,485340.7833333333
10840,476710.63333333336
20172,486420.8
12112,321499.98333333334
9762,487682.48333333334
13614,426740.35
8503,475839.0333333333
3237,139823.52532552084
2088,140497.56666666668
7275,241866.78333333333
3845,327990.13333333336
9369,490475.8333333333
20259,475565.63333333336
3882,485294.1
3404,486764.06666666665
2479,129423.4
7299,299651.7833333333
18648,451040.35
14187,328370.1
5636,205538.35
8965,483464.11666666664
11729,128150.03333333334
12310,374115.1666666667
10336,474343.86666666664
11858,200681.65
20408,487309.0833333333
17586,479052.4
11375,462953.9166666667
18949,418837.0833333333
15851,479194.05
9448,420495.4
3947,484617.43333333335
17812,476320.73333333334
14312,199453.36666666667
16656,423581.86666666664
16971,480707.4166666667
12795,126703.33333333333
2067,203218.31666666668
13936,418873.76666666666
14572,473697.2833333333
18679,470862.38333333336
14243,442167.23333333334
1056,410730.38333333336
11674,468150.6666666667
12543,332291.7833333333
13647,119049.07408854166
1417,468839.01666666666
14716,466005.6
16099,479909.0833333333
18104,489447.48333333334
14725,421562.01666666666
4042,488165.7833333333
371,463700.6666666667
7124,446965.65
10453,467433.9
483,468717.2833333333
4335,485564.1
19016,427103.8
14651,400350.18333333335
9678,423038.8333333333
780,321951.73333333334
8194,485370.7833333333
19649,388538.48333333334
4432,309153.45
18865,468839.01666666666
11266,445640.55
3415,418888.55
18973,402670.3333333333
11670,464702.26666666666
12840,415198.75
3944,485317.45
16152,483460.73333333334
181,371010.15
18562,478657.4166666667
15521,389650.31666666665
16467,431978.8
20521,206048.3
1688,484432.43333333335
10158,474905.5333333333
10733,474865.5833333333
17905,481410.75
15232,476362.26666666666
17162,485550.7833333333
8652,483395.75
11106,461648.93333333335
3209,115398.33333333333
3197,264156.65
7117,466878.95
18282,487430.76666666666
20018,430852.15
1615,488494.13333333336
12113,432680.48333333334
6033,433338.81666666665
16103,482045.76666666666
14851,315740.1
14329,468142.2833333333
1956,323590.13333333336
6557,449118.9166666667
10349,471573.98333333334
1050,322983.45
1017,439048.7833333333
13346,189538.26666666666
13545,434380.5
172,360216.88333333336
12967,395828.63333333336
16004,469992.25
15779,222088.38333333333
16361,151875
9140,445005.55
4556,243935.11666666667
18014,481410.75
12883,414285.4166666667
6155,393148.55
1678,237381.73333333334
640,483232.4166666667
2007,139602.56666666668
9116,447605.6
9624,116840
10290,455628.8333333333
10547,458133.93333333335
8422,472088.9
13889,125871.7
3977,488772.4166666667
457,486809.1
2129,195206.63333333333
15208,445658.61666666664
2966,333835.06666666665
1020,435185.51666666666
20095,186030
5437,423208.63333333336
13641,176024.9
4982,214900
9641,337515.15
7434,368921.86666666664
11296,434858.85
13016,414010.43333333335
17292,479569.0333333333
20461,488045.8
4031,483420.7166666667
9918,477182.4166666667
18615,480117.43333333335
4437,266350.06666666665
8413,419343.6
13035,404320.36666666664
6626,386993.56666666665
16702,426660.2833333333
15203,463757.1666666667
1425,210161.66666666666
9065,428278.7833333333
9616,142003.33333333334
18154,489070.8333333333
6853,472717.45
8720,483395.75
4851,330493.4666666667
20524,413278.75
4347,488795.76666666666
8984,485115.75
3687,481220.76666666666
12725,420242.11666666664
11708,131149.21666666667
16884,487342.4166666667
3289,171318.36666666667
8625,488914.13333333336
3396,475659.0833333333
11246,481724.01666666666
6480,451004.01666666666
9151,485340.7833333333
16283,332610.1
13025,415198.75
6635,486175.81666666665
6599,360168.4666666667
17520,458537.1
19740,404978.7
17815,484770.73333333334
11408,475022.2833333333
10752,462007.26666666666
14873,420040.36666666664
454,489384.15
2984,433512.15
12104,125028.75
16042,409339.5
8433,472170.43333333335
20248,490835.8333333333
1220,429173.7833333333
14850,202903.38333333333
8488,414320.31666666665
10022,194404.98333333334
2430,105865.01666666666
20618,414285.4166666667
10587,457433.9
12105,138666.66666666666
5553,406938.63333333336
14013,462107.26666666666
7419,450399.05
9695,361895.2
19014,426648.8
15432,361495.13333333336
8410,300284.8619791667
6949,388786.86666666664
38,224593.35
17526,475644.06666666665
10209,471667.23333333334
20334,490269.1666666667
2925,110476.66666666667
7495,334519.04739583336
7834,409051.9
2253,429997.2
3760,410458.63333333336
9394,489834.13333333336
1739,475929.05
8221,302476.73333333334
9335,483519.1
7611,275293.38333333336
19101,467392.3333333333
16281,197669.95
11037,470903.98333333334
1285,220083.28333333333
12693,415583.76666666666
17011,480030.75
14496,376486.75
13854,176999.91666666666
390,471597.3
17669,475644.06666666665
18035,484319.0833333333
10297,471755.61666666664
12716,416497.1
16726,481424.1
3132,401890.26666666666
8749,481285.75
18796,144745.45
12135,429587.11666666664
4922,195100
18392,488059.13333333336
3352,414007.06666666665
18944,427665.4666666667
12126,427525.43333333335
16359,158488.33333333334
2553,306000.13333333336
12478,155798.95559895833
2756,316173.3333333333
18306,486175.73333333334
18385,485920.73333333334
5850,295557.82786458335
12854,300938.38333333336
7076,467450.5333333333
8861,490812.48333333334
3557,488819.11666666664
4897,259591.78333333333
20038,305323.35
887,471802.35
19813,428587.18333333335
17907,476282.4166666667
6368,446255.56666666665
9162,485294.1
5080,441693.68333333335
17053,485174.11666666664
13226,430287.13333333336
18603,478657.4166666667
1757,488002.45
4027,486787.4166666667
11570,449598.98333333334
17693,476320.73333333334
806,474755.73333333334
10739,460385.5333333333
13427,435503.81666666665
3408,485725.8
9284,484687.4
9191,284557.0408854167
16320,307601.73333333334
8716,488937.48333333334
5288,489917.48333333334
3135,386468.51666666666
12579,260143.33333333334
6737,488632.4666666667
12077,425087.1
