id,median_house_value
14769,161965.1533333333
16487,129384.2833333333
2879,59190.36626666667
19071,245069.41100000005
12053,110286.43000000004
17077,141537.81333333332
10624,227901.93533333333
10320,359722.2872333332
5406,247430.46946666666
10840,422684.4776666663
20172,234294.1666666666
12112,90773.59999999999
9762,241061.39200000002
13614,98381.44333333333
8503,221921.7219999999
3237,57136.27
2088,53769.33333333332
7275,121238.20333333334
3845,189779.74866666665
9369,269582.66149999993
20259,191664.76333333334
3882,224642.3796666667
3404,271050.61156666686
2479,58671.80333333333
7299,174972.0604
18648,210718.29666666663
14187,128710.24333333333
5636,172799.97766666656
8965,267471.45213333325
11729,82982.61666666664
12310,116062.45666666667
10336,406354.7002333332
11858,83476.35666666667
20408,366717.3480000001
17586,228054.91336666662
11375,214218.23666666666
18949,183085.28373333332
15851,243746.45
9448,111382.52000000003
3947,217524.70533333335
17812,221276.7866666667
14312,122119.09999999995
16656,208548.67333333337
16971,257642.00766666673
12795,76531.65666666668
2067,72165.36000000002
13936,139324.41460000005
14572,219414.0099999999
18679,255045.09533333327
14243,130522.00666666665
1056,110359.96333333335
11674,236734.0653333333
12543,107985.40666666668
13647,83018.75333333336
1417,155958.83666666664
14716,249686.01976666678
16099,269017.44
18104,355714.7137666667
14725,157125.0686666667
4042,379089.9734999999
371,179320.66666666666
7124,187029.48333333334
10453,237173.58439999996
483,173564.38593333334
4335,258874.35139999999
19016,130070.53999999998
14651,178368.19333333327
9678,151848.48999999996
780,164223.95333333337
8194,249246.1977333333
19649,113027.89999999997
4432,171840.50000000006
18865,158100.02999999994
11266,194880.1166666667
3415,207884.6980000001
18973,172767.43999999994
11670,198245.95483333326
12840,101167.40999999999
3944,257557.38890000002
16152,294742.98133333336
181,160966.36333333337
18562,229316.04000000004
15521,145404.31
16467,134217.25000000003
20521,82921.63333333333
1688,246438.2340000001
10158,283566.7395999999
10733,275871.4580666666
17905,265947.02209999994
15232,403045.5337999996
17162,466519.72283333325
8652,289922.75713333336
11106,215757.39999999994
3209,73886.46999999999
3197,77174.32666666669
7117,214295.91333333336
18282,450663.93666666676
20018,92461.62000000002
1615,378014.01999999984
12113,133323.22200000004
6033,132538.1666666667
16103,276786.36999999994
14851,124200.33000000005
14329,200513.95280000012
1956,122617.77666666661
6557,398449.57980000007
10349,289773.9847333334
1050,121924.78999999996
1017,230598.22216666662
13346,108642.10000000003
13545,133122.11866666665
172,137250.20666666667
12967,124730.07666666669
16004,226133.51333333328
15779,225910.2389666666
16361,90189.15333333334
9140,183610.15133333337
