id,median_house_value
14769,157727.640625
16487,143412.734375
2879,47297.9765625
19071,265319.125
12053,111448.9453125
17077,204873.171875
10624,251262.015625
10320,357584.3125
5406,349361.34375
10840,418643.0625
20172,238458.328125
12112,78040.859375
9762,257980.515625
13614,83781.1640625
8503,243907.671875
3237,50768.5859375
2088,58427.8359375
7275,120959.5546875
3845,197975.703125
9369,339920.59375
20259,175505.859375
3882,217315.578125
3404,262847.375
2479,44771.5234375
7299,161460.53125
18648,209614.15625
14187,110378.6015625
5636,210897.515625
8965,297882.53125
11729,102051.671875
12310,139094.875
10336,408507.90625
11858,96546.921875
20408,324128.40625
17586,255339.484375
11375,260573.3125
18949,178107.78125
15851,266112.84375
9448,116767.09375
3947,229007.28125
17812,228224.484375
14312,150064.421875
16656,175492.328125
16971,271414.90625
12795,83385.7265625
2067,65950.34375
13936,124836.046875
14572,179107.3125
18679,238249.3125
14243,131926.15625
1056,132367.78125
11674,247473.53125
12543,104392.5703125
13647,70158.6015625
1417,164641.390625
14716,223604.71875
16099,260432.96875
18104,404036
14725,145688.015625
4042,366135.96875
371,130817.4921875
7124,191636.0625
10453,216131.390625
483,177948.734375
4335,306414.03125
19016,112080.0859375
14651,156279.34375
9678,141733.359375
780,164024.8125
8194,242517.75
19649,119269.3125
4432,177404.1875
18865,123235.03125
11266,218542.828125
3415,200894.046875
18973,176597.125
11670,204797.765625
12840,103564.8671875
3944,225160.5
16152,285708.8125
181,106072.2421875
18562,270669.90625
15521,124647.484375
16467,143197.046875
20521,70305.1640625
1688,227369.328125
10158,299218
10733,359891.3125
17905,268539.46875
15232,440662.59375
17162,469057.53125
8652,369910.6875
11106,199095.25
3209,76157.921875
3197,91943.0234375
7117,185131.296875
18282,489794.96875
20018,106474.2265625
1615,341118.125
12113,128300.6328125
6033,141672.546875
16103,275071.59375
14851,107834.7734375
14329,134105.078125
1956,122945.1484375
6557,459061.5
10349,270574.125
1050,114630.359375
1017,254464.8125
13346,100369.71875
13545,105606.8671875
172,119044.921875
12967,108266.125
16004,222247.265625
15779,173637.171875
16361,93221.2890625
9140,249495.8125
4556,223188.828125
18014,244778.109375
12883,102352.2578125
6155,179674.015625
1678,91589.8125
640,181047.8125
2007,73119.7109375
9116,194167.515625
9624,66149.9453125
10290,288578.25
10547,304259.1875
8422,207617.609375
13889,69761.375
3977,299076.09375
457,228650.671875
2129,75419.578125
15208,206932.140625
2966,61869.09375
1020,216133.3125
20095,132096.3125
5437,321211.71875
13641,91074.8203125
4982,118817.765625
9641,104163.65625
7434,170592
11296,170821.09375
13016,169651.953125
17292,421748.15625
20461,285890.65625
4031,239416.578125
9918,157584.09375
18615,235820.09375
4437,178085.59375
8413,164771.953125
13035,185216.53125
6626,188870.4375
16702,148624.625
15203,255410.96875
1425,144879.890625
9065,110067.3515625
9616,72786.9765625
18154,283612.375
6853,213493.53125
8720,346338.90625
4851,176746.46875
20524,143496.921875
4347,438546.46875
8984,311220.59375
3687,193009.671875
12725,141643.03125
11708,153375.390625
16884,310508.59375
3289,74609.625
8625,350272.1875
3396,204455.9375
11246,255315.78125
6480,187961.359375
9151,241109.578125
16283,133852.5
13025,125510.6640625
6635,376932.875
6599,167070.734375
17520,216150.5625
19740,103361.546875
17815,272602.09375
11408,217371.28125
10752,421948.6875
14873,127455.5703125
454,232922.921875
2984,79502.5390625
12104,82971.9296875
16042,223174.171875
8433,236276.6875
20248,221493.765625
1220,155017.953125
14850,109591.90625
8488,157903.671875
10022,124590.96875
2430,58404.0625
20618,105866.5859375
10587,211045.078125
12105,119817.0625
5553,271835.875
14013,206043.1875
7419,132391.4375
9695,137052.890625
19014,246531.125
15432,139474.421875
8410,169117.5625
6949,173539.703125
38,115634.9765625
17526,232646.90625
10209,218816.625
20334,349804.3125
2925,77291.6015625
7495,105701.1484375
7834,160560.15625
2253,82483.046875
3760,212875.578125
9394,405900.1875
1739,149766.53125
8221,111430.15625
9335,223932.3125
7611,103252.2578125
19101,206825.8125
16281,119474.484375
11037,216598.40625
1285,110188.0625
12693,192205.859375
17011,311820.6875
14496,178179.625
13854,94311.828125
390,151442.78125
17669,217295.1875
18035,314399
10297,278364.875
12716,193004.859375
16726,214153.828125
3132,138644.296875
8749,366774.5625
18796,104395.15625
12135,141101.40625
4922,144022.65625
18392,354327.25
3352,131887.796875
18944,145216.65625
12126,112405.34375
16359,101339.2890625
2553,107166.03125
12478,60198.6484375
2756,77843.375
18306,440334.28125
18385,421604.75
5850,236186.984375
12854,84499.5390625
7076,273416
8861,343808.8125
3557,404319.25
4897,128619.75
20038,76363.75
887,186265.671875
19813,99252.59375
17907,240608.234375
6368,338670.25
9162,228140.546875
5080,164908.078125
17053,316649.3125
13226,143452.796875
