id,median_house_value
14769,295336.3217795484
16487,74504.39484504708
2879,-15418.78264145086
19071,321622.7883232712
12053,67777.30974618724
17077,142419.0313978743
10624,336420.7370674039
10320,398155.2650988157
5406,302954.7979771469
10840,435722.32703023433
20172,327568.99056035734
12112,59750.611308847954
9762,315789.58886443014
13614,106850.32903336833
8503,273594.77634090895
3237,-32526.55239814821
2088,-35255.170899033394
7275,145458.41282774255
3845,144584.31502403412
9369,338597.51478757843
20259,208987.60822501878
3882,320648.02836490015
3404,338162.524194995
2479,-46487.936481998164
7299,190212.17302058934
18648,292730.8501218654
14187,221858.20955027587
5636,159713.88307045127
8965,336207.6888437805
11729,58289.27336036281
12310,73678.6362649619
10336,393713.2855829066
11858,49818.04656040297
20408,360406.80036336393
17586,332650.00619965524
11375,294799.3028767181
18949,123877.72423372923
15851,291886.0545909302
9448,87133.35770333941
3947,282033.6406245633
17812,266803.56023491063
14312,168430.27927803324
16656,296694.3214586096
16971,315975.00367580383
12795,-12222.847807031434
2067,46910.376984955015
13936,158011.35170789642
14572,343815.17499551474
18679,348087.9682465792
14243,232107.14464337847
1056,110668.56491308109
11674,322467.31649255287
12543,133399.76301483007
13647,43907.7736238758
1417,272850.96576002095
14716,342555.6637932198
16099,324529.8703200298
18104,381913.2147707463
14725,220862.4415892807
4042,402599.19725885167
371,264359.4041819168
7124,256655.0950628196
10453,318628.0794624732
483,264693.0871546421
4335,321306.14994599606
19016,119661.60742733713
14651,285055.1384981073
9678,173510.67692731298
780,190618.63447035244
8194,358217.6316719387
19649,77921.97188239967
4432,193609.35966252527
18865,285565.6817323801
11266,275357.3035138862
3415,191615.08144122356
18973,128017.5763276153
11670,253039.00969827597
12840,117235.35366013294
3944,328256.6378581791
16152,313409.9815405038
181,269888.82777543314
18562,299071.4496804474
15521,212726.4712033352
16467,111221.26335600295
20521,76010.62770302795
1688,314337.43092737097
10158,334070.27157388657
10733,362172.0965274784
17905,345316.91653308587
15232,543104.6501802669
17162,517890.91077595495
8652,347230.7163664094
11106,305554.5206157513
3209,15474.580513346493
3197,25300.056835706546
7117,331643.65453398816
18282,469170.00267790025
20018,86681.58798026008
1615,389761.2889212534
12113,141748.3922239129
6033,107663.76555654628
16103,336070.3922574548
14851,211827.48961349748
14329,349851.6518749753
1956,67249.68152050779
6557,321957.0863199245
10349,356642.41220298706
1050,82412.38974400288
1017,197543.51096212905
13346,15687.949481626281
13545,152893.62884453236
172,221926.97042742546
12967,95073.43744092427
16004,189413.16281180107
15779,219723.7525999265
16361,12879.093679599064
9140,131308.11961957035
4556,163153.98965939638
18014,289337.2990007976
12883,146735.19912282287
6155,190328.79637607854
1678,174323.77238614566
640,288111.1046833791
2007,16031.136824118657
9116,187279.80450585458
9624,15239.205028073266
10290,356189.8303339342
10547,362554.72715719417
8422,243959.06969523954
13889,46561.26718491456
3977,356665.0398159723
457,349296.8464831966
2129,48564.4261354123
15208,303797.2098076559
2966,127664.11237805216
1020,162083.04388031396
20095,103100.0959337236
5437,271511.47554440063
13641,51462.03274855795
4982,173913.30086797487
9641,14883.70063244777
7434,200388.5332366014
11296,254836.82770850515
13016,75856.84244510195
17292,394981.1059403815
20461,304897.5567866143
4031,316032.8959974102
9918,274891.65276058856
18615,303770.4066160932
4437,159368.84582725147
8413,193651.08697093
13035,-88713.65232603061
6626,235696.5560123749
16702,229837.60204074284
15203,343614.17346770165
1425,201135.60234355248
9065,151137.295409001
9616,-20108.529828496394
18154,293824.60353351297
6853,285557.6417515144
8720,332812.38758274016
4851,200608.35640917093
20524,131969.19725052489
4347,439485.4612765676
8984,292867.63289434
3687,242455.37355693986
12725,182557.76922083442
11708,1882.8812814750136
16884,343345.8144412146
3289,73032.45366215929
8625,326451.4370676481
3396,291312.35560421663
11246,306797.95489678823
6480,269963.81685494666
9151,314059.22499683156
16283,67979.03283008332
13025,129092.89443369924
6635,370300.9560193393
6599,207627.50939259917
17520,243237.99435554308
19740,76679.16249302625
17815,326752.4024424594
11408,269956.2047893774
10752,394404.75787127187
14873,263465.0641917159
454,334605.53295962774
2984,105250.1326482163
12104,65895.74766485956
16042,251151.49969866907
8433,220628.05150170662
20248,333866.5683413586
1220,94710.5899361175
14850,196029.65685033993
8488,228972.50899913214
10022,29106.90091309492
2430,-1366.178074984281
20618,96429.23747782041
10587,321562.3835843496
12105,-145342.49331768014
5553,239956.89594030942
